"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"11",100,1000,0.1,0.9,0.51,0.161489002658998,0.41,0.61,-0.189085,0.159927162965172,-0.28804,-0.08987,0.383655,0.117738507352075,0.31131,0.458805,0.9365741328125,0.0255229783894299,0.92127500390625,0.95211691015625,0.0336590135503307,0.00992942887198506,0.0275665042375987,0.0398532209346202,0.143994052258371,0.0299914410848279,0.126473845384062,0.161936627227262,NA,NA,NA,NA
"12",100,1000,0.1,1,0.65,0.156478930069053,0.55,0.75,-0.20424,0.140063991552025,-0.28726,-0.11653,0.30777,0.114057537540728,0.240755,0.377985,0.95720973828125,0.0195152407689309,0.94426866015625,0.9686431171875,0.0274664189930129,0.00917369417716694,0.0219808352177088,0.0332476652807466,0.152389236709283,0.0315914021083014,0.132507762318521,0.17034224345486,NA,NA,NA,NA
"13",100,1000,0.2,0,0.79,0.126647522476734,0.71,0.86,-0.19455,0.116716363747471,-0.26817,-0.125875,0.28172,0.100570189803293,0.221845,0.34722,0.96931409375,0.0191001099798313,0.9573083046875,0.980884859375,0.0182941466983831,0.00796509960321631,0.0136881661053098,0.0234344438877909,0.215116666915815,0.0268698563954266,0.197881215877346,0.231701089845827,NA,NA,NA,NA
"14",100,1000,0.2,0.1,0.81,0.125445452752029,0.73,0.88,-0.18317,0.120777534914316,-0.26263,-0.111405,0.28822,0.101907293231473,0.228225,0.354685,0.96803608203125,0.0191796259371309,0.95591286328125,0.97970051171875,0.0195483634411601,0.00820816736803358,0.01457239109835,0.02483449162079,0.218345663624301,0.0268139325343065,0.202112365017164,0.234461087931676,NA,NA,NA,NA
"15",100,1000,0.2,0.2,0.87,0.111215579171738,0.79,0.93,-0.229435,0.0958037874717544,-0.293235,-0.17363,0.237355,0.0910202523911769,0.18334,0.29312,0.98184833203125,0.0158623173833623,0.97173897265625,0.99096356640625,0.0125904886435809,0.00755144534578978,0.00824408595902043,0.0177105248668274,0.229954892845373,0.0311205445958798,0.211629069760649,0.248682820361613,NA,NA,NA,NA
"16",100,1000,0.2,0.3,0.89,0.10210424461146,0.82,0.95,-0.209305,0.11071124644606,-0.27804,-0.143815,0.249745,0.0980406607669244,0.195405,0.31314,0.980667236328125,0.0157610611838241,0.970454283203125,0.9893489375,0.0140462401173122,0.00703444401532918,0.00992769423625064,0.0184902623387935,0.223694094605085,0.0311109501345362,0.204440072998897,0.242168458476508,NA,NA,NA,NA
"17",100,1000,0.2,0.4,0.94,0.0758333100233064,0.89,0.98,-0.24278,0.110941846151937,-0.313105,-0.177475,0.2791,0.100418932940925,0.21953,0.34099,0.98686558203125,0.0126424203793942,0.97853351171875,0.9937176171875,0.0107286669215515,0.0053968096870078,0.00777192265363846,0.0141160950753125,0.224721796993856,0.0344686113663,0.204032995599172,0.245523466729349,NA,NA,NA,NA
"18",100,1000,0.2,0.5,0.94,0.077391298808801,0.89,0.98,-0.269275,0.115706308906234,-0.34131,-0.20494,0.282875,0.107156496781665,0.21896,0.350155,0.9906038359375,0.00864891224382986,0.984614828125,0.99488046875,0.0091861300140822,0.00413011969232866,0.00686821529910685,0.0119788268520244,0.227744481868321,0.0304246463107145,0.207818937555393,0.2453220843484,NA,NA,NA,NA
"19",100,1000,0.2,0.6,0.99,0.0320023831183324,0.97,1,-0.20142,0.0903214083090664,-0.26084,-0.149515,0.21044,0.0926113537574736,0.15925,0.2712,0.993421625,0.0025230625138303,0.991896265625,0.99493528125,0.0080919118093451,0.00222330295384066,0.00676712162618343,0.0094926232215131,0.232038605958885,0.0292583809912044,0.213061820532409,0.249061133311133,NA,NA,NA,NA
"20",100,1000,0.2,0.7,0.99,0.0307071537744757,0.97,1,-0.17759,0.0848531682717715,-0.234145,-0.12874,0.18795,0.0811615054002782,0.141585,0.23883,0.9923061328125,0.00372838819816576,0.9899415859375,0.99450965625,0.00886682423474396,0.00264946310942973,0.00730059214545012,0.0106416766573033,0.235998595358889,0.0300819049344351,0.216210426828074,0.253579993535876,NA,NA,NA,NA
"21",100,1000,0.2,0.8,0.99,0.0324488564178814,0.96,1,-0.2634,0.109778110794802,-0.334375,-0.198495,0.27042,0.108054321946286,0.20447,0.33872,0.99396515625,0.00244434176729763,0.992461125,0.99535153125,0.0082928057633694,0.00237944055994288,0.00687140355589856,0.00975375410741661,0.21801163946133,0.0363418172485038,0.1952280407501,0.240677290803452,NA,NA,NA,NA
"22",100,1000,0.2,0.9,1,0,1,1,-0.19926,0.0920139390006764,-0.26225,-0.14728,0.2097,0.09401061956727,0.15524,0.273135,0.99274296875,0.00250869034696625,0.99115828125,0.99426375,0.00977159307053746,0.00235205862391259,0.00832215225126164,0.0113237026805437,0.236202544187838,0.0311400730773476,0.215555106658048,0.254369864612512,NA,NA,NA,NA
"23",100,1000,0.2,1,0.99,0.0318998432598031,0.97,1,-0.21864,0.106834663861634,-0.28548,-0.155375,0.23682,0.102509632470398,0.178895,0.30352,0.990612,0.00510009682965522,0.9873070625,0.9932684375,0.0108553487332749,0.0040506506696735,0.00849526576005103,0.0135309833503141,0.224979287052816,0.0329048792261225,0.203832979112391,0.24445183982684,NA,NA,NA,NA
"24",100,1000,0.3,0,0.98,0.0434720274626935,0.95,1,-0.288155,0.0961214279256644,-0.34838,-0.23117,0.298825,0.0926160994201823,0.242215,0.35745,0.990347,0.00701042636679699,0.985403421875,0.99381471875,0.0098448602915705,0.00384463523486965,0.00761181490908636,0.0122839773378589,0.260783655886597,0.0368295833782865,0.237590293693235,0.283830553433495,NA,NA,NA,NA
"25",100,1000,0.3,0.1,0.99,0.0347852865679753,0.96,1,-0.289035,0.10228646699699,-0.35453,-0.22945,0.303775,0.0957384008959421,0.247935,0.3638,0.992676109375,0.0050464483834782,0.989019640625,0.995332171875,0.00802699650281287,0.00312779934445535,0.0062959976520797,0.0100386304412971,0.261338649912179,0.0327037604172024,0.240192213015742,0.280791824188883,NA,NA,NA,NA
"26",100,1000,0.3,0.2,1,0,1,1,-0.30562,0.101999527845788,-0.3688,-0.243125,0.31473,0.1007016830053,0.25599,0.378,0.992911921875,0.00351915827846734,0.99062071875,0.99490928125,0.00801879309440187,0.00279348380988472,0.00636400676850746,0.00985192432487394,0.280182151182151,0.0394484806932174,0.255461344211344,0.303557276057276,NA,NA,NA,NA
