"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"94",1000,0,0,0,94,1000,1000,11868,81454,90804,62178,71601,68353,69538,68459,68727,67944,69598,68293,69433,68389,68721,69188,68540,69284,68562,68601
"95",1000,0,0,0,95,1000,1000,11846,81096,90966,62322,71610,67008,70123,68752,68679,68001,69540,68370,68140,69655,68336,69459,69111,68598,68556,68702
"96",1000,0,0,0,96,1000,1000,11821,81096,91405,62027,71888,67627,68883,68670,68014,69595,68271,68773,68534,68759,68870,69360,68390,68002,68791,68624
"97",1000,0,0,0,97,1000,1000,11861,80934,90576,62302,71675,66983,69886,68988,68620,69447,68249,69575,68300,68141,69551,68188,69413,69082,68409,68845
"98",1000,0,0,0,98,1000,1000,11835,81211,91332,62207,71753,68268,69522,69055,67728,69689,68379,68623,69386,68317,67931,69627,68312,68143,68881,68685
"99",1000,0,0,0,99,1000,1000,11846,80494,90792,61699,71930,68294,68042,69424,68445,68234,69466,68279,69409,68663,68590,68604,67850,68940,68630,68536
"100",1000,0,0,0,100,1000,1000,11833,80722,91970,61953,71792,67548,69692,68279,67924,69793,68131,68849,67867,68986,67728,69029,69139,68377,69406,68322
"101",1000,0.1,0,0,1,1000,1000,11834,81080,91500,61934,71837,66846,69913,68830,69222,68541,68671,67894,69665,68297,68001,69111,69327,68392,67864,69580
"102",1000,0.1,0,0,2,1000,1000,11841,78032,94149,61428,72079,68275,68072,69549,68426,67955,69735,68152,68015,68662,69366,67605,68988,68660,67930,68961
"103",1000,0.1,0,0,3,1000,1000,11825,80813,91443,61523,72028,67583,69782,68391,68080,69628,68630,68574,68754,68593,69322,68373,69213,68556,69413,68391
"104",1000,0.1,0,0,4,1000,1000,11847,80850,91049,62182,71811,66988,69964,68836,68500,68110,69512,68499,69037,69206,68445,68028,69637,68425,68675,69242
"105",1000,0.1,0,0,5,1000,1000,11824,80576,91452,62005,71749,68225,68718,68560,69342,68383,68027,69523,68379,68722,68058,68779,69370,68327,69494,68961
"106",1000,0.1,0,0,6,1000,1000,11845,81195,91563,61978,71934,68188,68782,69167,69127,68537,68083,69508,68345,68797,69336,68465,68539,68107,69392,68302
"107",1000,0.1,0,0,7,1000,1000,11861,81104,92511,61824,72011,68169,69562,68896,68562,68659,69392,68318,68044,69742,68062,68186,68096,68781,69239,68422
"108",1000,0.1,0,0,8,1000,1000,11780,80718,91443,62047,71747,68275,68860,69226,68482,68826,68488,69321,68455,67958,69473,68326,68825,68483,68835,68808
"109",1000,0.1,0,0,9,1000,1000,11847,80628,90944,62225,71810,68200,68924,68484,69391,68432,69442,69085,68751,68621,68122,69451,68387,69397,69018,68444
"110",1000,0.1,0,0,10,1000,1000,11863,80909,92270,61333,72096,66855,70149,68612,68620,67962,69291,69103,68393,69356,68406,68134,69397,68546,68649,69240
"111",1000,0.1,0,0,11,1000,1000,11866,81211,91175,61541,72075,68164,69492,68401,68071,69487,68254,68786,68814,68490,68632,67931,68265,68844,68424,69304
"112",1000,0.1,0,0,12,1000,1000,11835,80978,91586,62067,71825,68260,68787,68485,69348,68352,69419,69072,69289,68368,69491,68326,68794,68606,68693,68549
"113",1000,0.1,0,0,13,1000,1000,11843,81117,90436,62282,71799,67635,69787,69000,68440,67950,69067,68492,68753,69324,68405,69431,68399,68663,68072,68913
"114",1000,0.1,0,0,14,1000,1000,11862,81055,91207,61557,71962,67519,69732,68347,68608,68638,69448,68477,68031,69578,68285,68351,69395,68518,69295,68476
"115",1000,0.1,0,0,15,1000,1000,11816,81103,90561,61837,71923,66835,70049,68237,69502,68335,68061,69475,68436,68100,69419,69121,68494,68798,67812,68846
"116",1000,0.1,0,0,16,1000,1000,11859,81286,91666,61513,72083,68138,69618,68334,68034,68810,68009,68812,68043,69567,68287,69542,68243,68754,69302,68485
"117",1000,0.1,0,0,17,1000,1000,11839,81163,90966,62205,71772,67869,68953,67941,69637,68334,68124,69493,68260,69592,68300,68046,69572,68289,69479,69021
"118",1000,0.1,0,0,18,1000,1000,11820,80685,91949,61333,72209,67446,68449,69374,68294,68155,69448,68466,68770,69338,68444,68104,69469,68403,68885,69130
"119",1000,0.1,0,0,19,1000,1000,11835,80851,90914,62089,71726,67032,69763,68286,68106,69458,68560,68570,68813,69132,68540,68702,68790,67894,69665,68276
"120",1000,0.1,0,0,20,1000,1000,11836,80840,91669,61908,71893,68219,68737,68688,69479,68323,68019,69549,68268,68738,68558,68658,68616,68013,68196,68725
"121",1000,0.1,0,0,21,1000,1000,11846,81030,90596,61889,71834,68294,68804,67797,69594,68203,68878,68614,69209,68432,69347,68377,67994,69284,69065,68573
"122",1000,0.1,0,0,22,1000,1000,11860,80327,91597,62106,71005,68545,68610,68662,69230,68443,67953,68189,68840,69346,68402,68104,68942,69344,68429,69416
"123",1000,0.1,0,0,23,1000,1000,11862,81008,90683,61832,71896,68063,68769,67841,69689,68397,68759,69199,68404,68764,69233,68461,69435,68291,69400,68421
"124",1000,0.1,0,0,24,1000,1000,11806,80534,91973,61424,71927,66773,70094,68079,69481,68887,68509,68456,69438,68326,68049,69503,68426,68727,68749,68023
"125",1000,0.1,0,0,25,1000,1000,11846,80824,92275,61483,71963,66794,69955,67616,69746,67654,68960,68597,69460,68443,68731,69344,68319,68803,68658,67837
"126",1000,0.1,0,0,26,1000,1000,11835,80894,90202,62323,71797,68340,68759,69240,69130,69282,68971,69230,68485,67929,69511,68350,68762,68472,69266,68506
"127",1000,0.1,0,0,27,1000,1000,11854,80743,91934,61978,71815,68299,68771,68614,69335,68568,68709,69365,68358,68711,69434,68357,69544,69026,68535,68732
"128",1000,0.1,0,0,28,1000,1000,11845,81257,91091,61694,71896,68197,69239,68434,68141,69393,68301,68658,68521,69401,68394,69570,68331,69434,67589,68949
"129",1000,0.1,0,0,29,1000,1000,11864,81054,90630,61688,72110,68127,69508,69147,67828,69577,69015,68485,68646,68748,69283,69196,68294,69504,68373,69494
"130",1000,0.1,0,0,30,1000,1000,11812,80739,91481,62072,71702,68066,69550,68942,68550,68546,69364,68580,67966,68727,68575,69365,68439,68048,69644,68268
"131",1000,0.1,0,0,31,1000,1000,11865,80627,89975,62040,71909,68124,68862,68592,69261,68426,68019,69453,68430,69223,69183,68438,69338,68440,68545,68748
