"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"85",1000,0,0,0,85,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"86",1000,0,0,0,86,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"87",1000,0,0,0,87,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"88",1000,0,0,0,88,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"89",1000,0,0,0,89,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"90",1000,0,0,0,90,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"91",1000,0,0,0,91,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"92",1000,0,0,0,92,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"93",1000,0,0,0,93,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"94",1000,0,0,0,94,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"95",1000,0,0,0,95,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"96",1000,0,0,0,96,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"97",1000,0,0,0,97,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"98",1000,0,0,0,98,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"99",1000,0,0,0,99,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"100",1000,0,0,0,100,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"101",1000,0.1,0,0,1,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"102",1000,0.1,0,0,2,1000,1000,41,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"103",1000,0.1,0,0,3,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"104",1000,0.1,0,0,4,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"105",1000,0.1,0,0,5,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"106",1000,0.1,0,0,6,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"107",1000,0.1,0,0,7,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"108",1000,0.1,0,0,8,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"109",1000,0.1,0,0,9,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"110",1000,0.1,0,0,10,1000,1000,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"111",1000,0.1,0,0,11,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"112",1000,0.1,0,0,12,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"113",1000,0.1,0,0,13,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"114",1000,0.1,0,0,14,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"115",1000,0.1,0,0,15,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"116",1000,0.1,0,0,16,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"117",1000,0.1,0,0,17,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"118",1000,0.1,0,0,18,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"119",1000,0.1,0,0,19,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"120",1000,0.1,0,0,20,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"121",1000,0.1,0,0,21,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"122",1000,0.1,0,0,22,1000,1000,22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"123",1000,0.1,0,0,23,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"124",1000,0.1,0,0,24,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"125",1000,0.1,0,0,25,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"126",1000,0.1,0,0,26,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"127",1000,0.1,0,0,27,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"128",1000,0.1,0,0,28,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"129",1000,0.1,0,0,29,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"130",1000,0.1,0,0,30,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"131",1000,0.1,0,0,31,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"132",1000,0.1,0,0,32,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"133",1000,0.1,0,0,33,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"134",1000,0.1,0,0,34,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"135",1000,0.1,0,0,35,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"136",1000,0.1,0,0,36,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"137",1000,0.1,0,0,37,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"138",1000,0.1,0,0,38,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"139",1000,0.1,0,0,39,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"140",1000,0.1,0,0,40,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"141",1000,0.1,0,0,41,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"142",1000,0.1,0,0,42,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"143",1000,0.1,0,0,43,1000,1000,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"144",1000,0.1,0,0,44,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"145",1000,0.1,0,0,45,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"146",1000,0.1,0,0,46,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"147",1000,0.1,0,0,47,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"148",1000,0.1,0,0,48,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"149",1000,0.1,0,0,49,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"150",1000,0.1,0,0,50,1000,1000,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"151",1000,0.1,0,0,51,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"152",1000,0.1,0,0,52,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"153",1000,0.1,0,0,53,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"154",1000,0.1,0,0,54,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"155",1000,0.1,0,0,55,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"156",1000,0.1,0,0,56,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"157",1000,0.1,0,0,57,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"158",1000,0.1,0,0,58,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"159",1000,0.1,0,0,59,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"160",1000,0.1,0,0,60,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"161",1000,0.1,0,0,61,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"162",1000,0.1,0,0,62,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"163",1000,0.1,0,0,63,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"164",1000,0.1,0,0,64,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"165",1000,0.1,0,0,65,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"166",1000,0.1,0,0,66,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"167",1000,0.1,0,0,67,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"168",1000,0.1,0,0,68,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"169",1000,0.1,0,0,69,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"170",1000,0.1,0,0,70,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"171",1000,0.1,0,0,71,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"172",1000,0.1,0,0,72,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"173",1000,0.1,0,0,73,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"174",1000,0.1,0,0,74,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"175",1000,0.1,0,0,75,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"176",1000,0.1,0,0,76,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"177",1000,0.1,0,0,77,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"178",1000,0.1,0,0,78,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"179",1000,0.1,0,0,79,1000,1000,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"180",1000,0.1,0,0,80,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"181",1000,0.1,0,0,81,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
