"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"111",1000,0.1,0,0,11,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"112",1000,0.1,0,0,12,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"113",1000,0.1,0,0,13,1000,1000,72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"114",1000,0.1,0,0,14,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"115",1000,0.1,0,0,15,1000,1000,68,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"116",1000,0.1,0,0,16,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"117",1000,0.1,0,0,17,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"118",1000,0.1,0,0,18,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"119",1000,0.1,0,0,19,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"120",1000,0.1,0,0,20,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"121",1000,0.1,0,0,21,1000,1000,71,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"122",1000,0.1,0,0,22,1000,1000,44,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"123",1000,0.1,0,0,23,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"124",1000,0.1,0,0,24,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"125",1000,0.1,0,0,25,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"126",1000,0.1,0,0,26,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"127",1000,0.1,0,0,27,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"128",1000,0.1,0,0,28,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"129",1000,0.1,0,0,29,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"130",1000,0.1,0,0,30,1000,1000,56,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"131",1000,0.1,0,0,31,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"132",1000,0.1,0,0,32,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"133",1000,0.1,0,0,33,1000,1000,70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"134",1000,0.1,0,0,34,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"135",1000,0.1,0,0,35,1000,1000,75,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"136",1000,0.1,0,0,36,1000,1000,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"137",1000,0.1,0,0,37,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"138",1000,0.1,0,0,38,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"139",1000,0.1,0,0,39,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"140",1000,0.1,0,0,40,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"141",1000,0.1,0,0,41,1000,1000,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"142",1000,0.1,0,0,42,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"143",1000,0.1,0,0,43,1000,1000,42,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"144",1000,0.1,0,0,44,1000,1000,72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"145",1000,0.1,0,0,45,1000,1000,53,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"146",1000,0.1,0,0,46,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"147",1000,0.1,0,0,47,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"148",1000,0.1,0,0,48,1000,1000,54,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"149",1000,0.1,0,0,49,1000,1000,76,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"150",1000,0.1,0,0,50,1000,1000,49,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"151",1000,0.1,0,0,51,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"152",1000,0.1,0,0,52,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"153",1000,0.1,0,0,53,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"154",1000,0.1,0,0,54,1000,1000,67,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"155",1000,0.1,0,0,55,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"156",1000,0.1,0,0,56,1000,1000,56,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"157",1000,0.1,0,0,57,1000,1000,81,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"158",1000,0.1,0,0,58,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"159",1000,0.1,0,0,59,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"160",1000,0.1,0,0,60,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"161",1000,0.1,0,0,61,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"162",1000,0.1,0,0,62,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"163",1000,0.1,0,0,63,1000,1000,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"164",1000,0.1,0,0,64,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"165",1000,0.1,0,0,65,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"166",1000,0.1,0,0,66,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"167",1000,0.1,0,0,67,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"168",1000,0.1,0,0,68,1000,1000,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"169",1000,0.1,0,0,69,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170",1000,0.1,0,0,70,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"171",1000,0.1,0,0,71,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"172",1000,0.1,0,0,72,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"173",1000,0.1,0,0,73,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"174",1000,0.1,0,0,74,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
