"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"156",56,100,0.4,0,0,1.172,1.172,9107.1484375,0.153557934508816,5
"157",57,100,0.4,0,0,1.347,1.347,9034.671875,0.166024750599823,12
"158",58,100,0.4,0,0,0.0760000000000001,0.0760000000000001,9541.5,0.0931451115768709,8
"159",59,100,0.4,0,0,0.15,0.15,9511.703125,0.130727272727273,7
"160",60,100,0.4,0,0,0.311,0.311,9448.78125,0.166189453591028,9
"161",61,100,0.4,0,0,0.665,0.665,9300.625,0.120356234096692,11
"162",62,100,0.4,0,0,1.104,1.104,9131.03125,0.116685072106015,11
"163",63,100,0.4,0,0,1.322,1.322,9027.375,0.135451071821773,6
"164",64,100,0.4,0,1,-0.594,0.594,9819.8125,0.101745936183022,0
"165",65,100,0.4,0,0,0.0760000000000001,0.0760000000000001,9539.90625,0.125647116145928,9
"166",66,100,0.4,0,0,-0.263,0.263,9678.25,0.0592880421158185,9
"167",67,100,0.4,0,0,0.262,0.262,9465.015625,0.101276970497578,10
"168",68,100,0.4,0,0,1.1,1.1,9126.484375,0.166457758836801,8
"169",69,100,0.4,0,0,-0.725,0.725,9882.375,0.0972388955582233,7
"170",70,100,0.4,0,0,0.237,0.237,9467.59375,0.0710786637590468,14
"171",71,100,0.4,0,0,1.05,1.05,9146.09375,0.146870442006468,8
"172",72,100,0.4,0,0,0.101,0.101,9535.15625,0.108108108108108,12
"173",73,100,0.4,0,0,-0.227,0.227,9662.5625,0.123398598017887,6
"174",74,100,0.4,0,0,0.521,0.521,9360.65625,0.104805406081842,6
"175",75,100,0.4,0,0,-0.021,0.021,9583.890625,0.147451087616964,10
"176",76,100,0.4,0,0,0.979,0.979,9184.984375,0.192319405530515,9
"177",77,100,0.4,0,0,0.953,0.953,9181.578125,0.174207858048162,10
"178",78,100,0.4,0,0,1.066,1.066,9150.25,0.124754805806199,10
"179",79,100,0.4,0,0,1.468,1.468,8974,0.0796214937478878,3
"180",80,100,0.4,0,1,-0.431,0.431,9754.25,0.0916011787819253,0
"181",81,100,0.4,0,0,1.183,1.183,9105.890625,0.186274815832189,6
"182",82,100,0.4,0,0,1.181,1.181,9102.515625,0.249156155622668,2
"183",83,100,0.4,0,0,0.89,0.89,9215.203125,0.0919575357889657,6
