"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
5,0,1000,0.6,0.1,0,1,-0.9105,0.9105,39964,0.004,0.222222222222222,7632,9
6,0,1000,0.6,0.1,0,1,-0.8895,0.8895,39582.75,0.0148018063221274,0,6321,5
7,0,1000,0.6,0.1,0,1,-0.9765,0.9765,40000,0,0,7243,5
8,0,1000,0.6,0.1,0,1,-0.873,0.873,38760.875,0.0313535559520775,0,6531,6
9,0,1000,0.6,0.1,0,1,-0.9505,0.9505,39880.25,0.00700700700700701,0,7438,6
10,0,1000,0.6,0.1,0,1,-0.944,0.944,39654.25,0.0135406218655968,0.111111111111111,7785,9
11,0,1000,0.6,0.1,0,1,-0.934,0.934,39737.25,0.0135270541082164,0,7203,6
12,0,1000,0.6,0.1,0,1,-0.9025,0.9025,39886.25,0.006,0,6989,7
13,0,1000,0.6,0.1,0,1,-0.992,0.992,39988,0.001,0,8819,8
14,0,1000,0.6,0.1,0,1,-0.978,0.978,40000,0,0,7192,5
15,0,1000,0.6,0.1,0,1,-0.1,0.1,39796.75,0.00751126690035053,0.375,4830,8
16,0,1000,0.6,0.1,0,1,-0.9795,0.9795,39928.25,0.00500250125062531,0,8540,8
17,0,1000,0.6,0.1,0,1,-0.905,0.905,39958,0.0035,0.125,7351,8
18,0,1000,0.6,0.1,0,1,-0.9505,0.9505,39988,0.0015,0,6929,5
19,0,1000,0.6,0.1,0,1,-0.9425,0.9425,39982,0.0035,0,7405,7
20,0,1000,0.6,0.1,0,1,-0.942,0.942,39994,0.001,0,7259,6
21,0,1000,0.6,0.1,0,1,-0.8885,0.8885,39743,0.0100250626566416,0.125,7238,8
22,0,1000,0.6,0.1,0,1,-0.9175,0.9175,39457.75,0.0228299046663322,0,7166,6
23,0,1000,0.6,0.1,0,1,-0.988,0.988,40000,0,0,8759,7
24,0,1000,0.6,0.1,0,1,-0.8975,0.8975,39778.5,0.0100150225338007,0.125,7032,8
25,0,1000,0.6,0.1,0,1,-0.9745,0.9745,39856.75,0.00650325162581291,0,7998,8
26,0,1000,0.6,0.1,0,1,-0.939,0.939,40000,0,0,7370,7
27,0,1000,0.6,0.1,0,1,-0.921,0.921,39322.75,0.0221550855991944,0,7658,7
28,0,1000,0.6,0.1,0,1,-0.0735,0.0735,39760.5,0.0100300902708124,0.375,4937,8
29,0,1000,0.6,0.1,0,1,-0.9345,0.9345,39994,0.0015,0,7452,7
30,0,1000,0.6,0.1,0,1,-0.9745,0.9745,39958,0.0035,0,8616,7
31,0,1000,0.6,0.1,0,1,-0.9885,0.9885,40000,0,0,9139,7
32,0,1000,0.6,0.1,0,1,-0.887,0.887,39700.5,0.0155388471177945,0.125,6953,8
33,0,1000,0.6,0.1,0,1,-0.9195,0.9195,39964,0.0025,0,7163,7
34,0,1000,0.6,0.1,0,1,-0.859,0.859,39433,0.014616935483871,0.0909090909090909,8144,11
35,0,1000,0.6,0.1,0,1,-0.91,0.91,39994,0.001,0.125,7256,8
36,0,1000,0.6,0.1,0,1,-0.8705,0.8705,39406.375,0.0261569416498994,0.125,6782,8
37,0,1000,0.6,0.1,0,1,-0.9635,0.9635,40000,0,0,7026,5
38,0,1000,0.6,0.1,0,1,-0.995,0.995,40000,0,0,10771,10
39,0,1000,0.6,0.1,0,1,-0.961,0.961,40000,0,0,6990,5
40,0,1000,0.6,0.1,0,1,-0.0585,0.0585,39796.5,0.00551102204408818,0.166666666666667,7871,12
41,0,1000,0.6,0.1,0,1,-0.949,0.949,40000,0,0,6850,5
42,0,1000,0.6,0.1,0,1,-0.8315,0.8315,39036.625,0.0253613999492772,0.1,8447,10
43,0,1000,0.6,0.1,0,1,-0.9905,0.9905,39994,0.001,0,8046,6
44,0,1000,0.6,0.1,0,1,-0.8975,0.8975,39268.75,0.0257315842583249,0,7722,7
45,0,1000,0.6,0.1,0,1,-0.828,0.828,38954.875,0.033855482566953,0.125,6747,8
46,0,1000,0.6,0.1,0,1,-0.904,0.904,39844.25,0.0100050025012506,0.125,7314,8
47,0,1000,0.6,0.1,0,1,-0.8945,0.8945,39778.75,0.0125125125125125,0.111111111111111,8141,9
48,0,1000,0.6,0.1,0,1,-0.8895,0.8895,39784.25,0.00951903807615231,0.125,7300,8
49,0,1000,0.6,0.1,0,1,-0.9745,0.9745,40000,0,0,7169,5
50,0,1000,0.6,0.1,0,1,-0.9455,0.9455,39797,0.0100150225338007,0,8247,7
51,0,1000,0.6,0.1,0,1,-0.991,0.991,39994,0.001,0.0714285714285714,12755,14
52,0,1000,0.6,0.1,0,1,-0.908,0.908,39654,0.0130325814536341,0,6413,5
53,0,1000,0.6,0.1,0,1,-0.966,0.966,40000,0,0,7043,5
54,0,1000,0.6,0.1,0,1,-0.9235,0.9235,39433,0.0238573581115018,0.181818181818182,9509,11
55,0,1000,0.6,0.1,0,1,-0.9375,0.9375,40000,0,0.125,7576,8
56,0,1000,0.6,0.1,0,1,-0.8855,0.8855,39808.25,0.00801201802704056,0.222222222222222,7468,9
57,0,1000,0.6,0.1,0,1,-0.933,0.933,39635.75,0.0125502008032129,0,13517,18
58,0,1000,0.6,0.1,0,1,-0.9495,0.9495,39868.25,0.0080040020010005,0,9749,9
59,0,1000,0.6,0.1,0,1,-0.9865,0.9865,40000,0,0,8566,7
60,0,1000,0.6,0.1,0,1,-0.934,0.934,39916,0.005,0,9411,8
61,0,1000,0.6,0.1,0,1,-0.887,0.887,39827,0.00950475237618809,0,6950,6
62,0,1000,0.6,0.1,0,1,-0.985,0.985,39952.25,0.0035,0,8627,8
63,0,1000,0.6,0.1,0,1,-0.9135,0.9135,39946,0.0045,0.111111111111111,7561,9
64,0,1000,0.6,0.1,0,1,-0.973,0.973,39994,0.001,0,11218,13
65,0,1000,0.6,0.1,0,1,-0.9805,0.9805,39988,0.002,0,7857,6
66,0,1000,0.6,0.1,0,1,-0.991,0.991,39976,0.003,0.111111111111111,8544,9
67,0,1000,0.6,0.1,0,1,-0.909,0.909,39790,0.0085127691537306,0,6490,5
68,0,1000,0.6,0.1,0,1,-0.9355,0.9355,39868.75,0.00650325162581291,0,6679,5
69,0,1000,0.6,0.1,0,1,-0.8915,0.8915,39210.75,0.0234670704012112,0,7268,7
70,0,1000,0.6,0.1,0,1,-0.9635,0.9635,39796.25,0.0105105105105105,0.0588235294117647,13908,17
71,0,1000,0.6,0.1,0,1,-0.9175,0.9175,39856.25,0.00550550550550551,0,6578,5
72,0,1000,0.6,0.1,0,1,-0.9755,0.9755,39952.25,0.00325,0,12069,14
73,0,1000,0.6,0.1,0,1,-0.9735,0.9735,39916,0.00350175087543772,0.0909090909090909,9163,11
74,0,1000,0.6,0.1,0,1,-0.962,0.962,39844,0.00750375187593797,0,8959,9
75,0,1000,0.6,0.1,0,1,-0.9335,0.9335,40000,0,0,7308,7
76,0,1000,0.6,0.1,0,1,-0.9855,0.9855,40000,0,0,7336,5
77,0,1000,0.6,0.1,0,1,-0.99,0.99,40000,0,0,9093,8
78,0,1000,0.6,0.1,0,1,-0.995,0.995,40000,0,0.0909090909090909,10989,11
79,0,1000,0.6,0.1,0,1,-0.9885,0.9885,40000,0,0,7406,5
80,0,1000,0.6,0.1,0,1,-0.965,0.965,39862.75,0.00850425212606303,0,7837,7
81,0,1000,0.6,0.1,0,1,-0.9025,0.9025,39772.75,0.0115,0,6776,7
82,0,1000,0.6,0.1,0,1,-0.958,0.958,40000,0,0,6966,5
83,0,1000,0.6,0.1,0,1,-0.8975,0.8975,39202.25,0.021969696969697,0,9308,11
84,0,1000,0.6,0.1,0,1,-0.976,0.976,39922.25,0.005,0,8597,8
85,0,1000,0.6,0.1,0,1,-0.986,0.986,40000,0,0,7337,5
86,0,1000,0.6,0.1,0,1,-0.9015,0.9015,39796.5,0.00900900900900901,0,6655,5
87,0,1000,0.6,0.1,0,1,-0.9685,0.9685,39833,0.00800800800800801,0.111111111111111,8475,9
88,0,1000,0.6,0.1,0,1,-0.9875,0.9875,40000,0,0,12007,13
89,0,1000,0.6,0.1,0,1,-0.9915,0.9915,40000,0,0,7456,5
90,0,1000,0.6,0.1,0,1,-0.992,0.992,40000,0,0,8773,7
91,0,1000,0.6,0.1,0,1,-0.979,0.979,39904.25,0.0065,0,8663,8
92,0,1000,0.6,0.1,0,1,-0.8825,0.8825,38838.375,0.0269582909460834,0,7716,9
93,0,1000,0.6,0.1,0,1,-0.9925,0.9925,40000,0,0.2,11755,15
