"","rep","scar","at","bb","extinct","act_dev","fin_yield","max_diff_yield","inac_ts","abs_act_dev"
"222",22,0,0.1,0.1,0,-0.263,9681.0625,0.1,4,0.263
"223",23,0,0.1,0.1,0,-0.966,9984.875,0.2,2,0.966
"224",24,0,0.1,0.1,0,0.125,9516.375,0.1,5,0.125
"225",25,0,0.1,0.1,1,-0.985,9993.25,0.1,1,0.985
"226",26,0,0.1,0.1,0,0.98,9180.40625,0.1,2,0.98
"227",27,0,0.1,0.1,0,1.114,9122.1875,0.1,2,1.114
"228",28,0,0.1,0.1,0,-0.233,9665.921875,0.2,1,0.233
"229",29,0,0.1,0.1,0,1.249,9047.0625,0.1,2,1.249
"230",30,0,0.1,0.1,0,-0.464,9769.6875,0.1,10,0.464
"231",31,0,0.1,0.1,1,-0.979,9990.5,0.1,1,0.979
"232",32,0,0.1,0.1,0,-0.554,9806.625,0.1,1,0.554
"233",33,0,0.1,0.1,0,-0.318,9701.9375,0.1,2,0.318
"234",34,0,0.1,0.1,0,-0.992,9996,0.1,2,0.992
"235",35,0,0.1,0.1,0,0.02,9562.78125,0.1,7,0.02
"236",36,0,0.1,0.1,0,-0.09,9615.71875,0.1,2,0.09
"237",37,0,0.1,0.1,0,1.145,9099.78125,0.1,5,1.145
"238",38,0,0.1,0.1,0,-0.393,9735.25,0.1,1,0.393
"239",39,0,0.1,0.1,0,0.476,9372.609375,0.1,4,0.476
"240",40,0,0.1,0.1,0,-0.123,9625.625,0.1,4,0.123
"241",41,0,0.1,0.1,0,0.402,9395.125,0.1,6,0.402
"242",42,0,0.1,0.1,0,-0.461,9764.46875,0.1,4,0.461
"243",43,0,0.1,0.1,0,0.0409999999999999,9550.15625,0.1,3,0.0409999999999999
"244",44,0,0.1,0.1,0,-0.751,9893.015625,0.1,1,0.751
"245",45,0,0.1,0.1,0,0.042,9554,0.1,3,0.042
"246",46,0,0.1,0.1,0,-0.556,9804.875,0.1,3,0.556
"247",47,0,0.1,0.1,0,-0.125,9619.375,0.1,1,0.125
"248",48,0,0.1,0.1,1,-0.962,9984,0.1,2,0.962
"249",49,0,0.1,0.1,0,0.255,9467.96875,0.1,2,0.255
"250",50,0,0.1,0.1,0,1.085,9132.78125,0.2,4,1.085
"251",51,0,0.1,0.1,0,0.514,9356.125,0.1,4,0.514
"252",52,0,0.1,0.1,0,-0.912,9962.28125,0.1,3,0.912
"253",53,0,0.1,0.1,0,-0.0629999999999999,9598.4375,0.1,5,0.0629999999999999
"254",54,0,0.1,0.1,0,-0.974,9988.625,0.1,2,0.974
"255",55,0,0.1,0.1,0,0.071,9537.5625,0.1,4,0.071
"256",56,0,0.1,0.1,1,-0.977,9989.75,0.1,1,0.977
"257",57,0,0.1,0.1,0,0.218,9481.5,0.2,5,0.218
"258",58,0,0.1,0.1,0,-0.145,9629.75,0.1,5,0.145
"259",59,0,0.1,0.1,0,0.0960000000000001,9541.3203125,0.1,6,0.0960000000000001
"260",60,0,0.1,0.1,0,1.146,9108.296875,0.2,3,1.146
"261",61,0,0.1,0.1,0,-0.087,9609.59375,0.1,6,0.087
"262",62,0,0.1,0.1,1,-0.923,9966.75,0.1,2,0.923
"263",63,0,0.1,0.1,0,-0.069,9604.21875,0.1,3,0.069
"264",64,0,0.1,0.1,0,-0.375,9725,0.1,3,0.375
"265",65,0,0.1,0.1,0,1.546,8961.15625,0.1,3,1.546
"266",66,0,0.1,0.1,0,-0.126,9622.1875,0.1,3,0.126
"267",67,0,0.1,0.1,0,0.0429999999999999,9556.5,0.1,5,0.0429999999999999
"268",68,0,0.1,0.1,0,-0.413,9743.9375,0.1,3,0.413
"269",69,0,0.1,0.1,0,0.274,9461.5625,0.1,6,0.274
"270",70,0,0.1,0.1,0,-0.897,9955.125,0.1,6,0.897
"271",71,0,0.1,0.1,0,-0.338,9712.1875,0.1,2,0.338
"272",72,0,0.1,0.1,0,-0.928,9968.5,0.1,7,0.928
"273",73,0,0.1,0.1,1,-0.971,9986.75,0.1,3,0.971
"274",74,0,0.1,0.1,0,-0.04,9591.84375,0,4,0.04
"275",75,0,0.1,0.1,0,-0.578,9809.625,0.1,2,0.578
"276",76,0,0.1,0.1,0,-0.036,9586.09375,0.1,7,0.036
"277",77,0,0.1,0.1,0,-0.012,9577.40625,0.1,7,0.012
"278",78,0,0.1,0.1,0,-0.005,9578.34375,0.1,6,0.005
"279",79,0,0.1,0.1,0,-0.251,9672.203125,0.1,4,0.251
"280",80,0,0.1,0.1,0,-0.00800000000000001,9570.53125,0.1,5,0.00800000000000001
"281",81,0,0.1,0.1,0,-0.473,9770.625,0.1,1,0.473
"282",82,0,0.1,0.1,1,-0.941,9974,0.1,5,0.941
"283",83,0,0.1,0.1,0,-0.118,9621.21875,0.1,8,0.118
"284",84,0,0.1,0.1,0,-0.00700000000000001,9578.75,0.1,3,0.00700000000000001
"285",85,0,0.1,0.1,0,-0.114,9618.390625,0.1,5,0.114
"286",86,0,0.1,0.1,0,-1,10000,0.1,0,1
"287",87,0,0.1,0.1,0,-0.0669999999999999,9598.03515625,0.1,2,0.0669999999999999
