"rep","bdgt_ratio","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci","overK_tot","overK_sd","overK_95ci"
100,1.2,0.1,0.3,0.02,-0.2,0.283931040674643,0.0528111735654836,0.269,0.21909554094186,0.0407517706151859,9650.121,121.626807664283,22.6225862255567,0.092,0.0226114710700818,0.00420573361903521,0.203,0.102300893988897,0.0190279662819348,0.002,0.0130558241966773,0.00242838330058198
100,1.2,0.1,0.4,0.06,-0.25,0.377633099152812,0.0702397564424231,0.348,0.288034586166805,0.0535744330270258,9675.206,148.009739120823,27.5298114764731,0.092,0.0234661415892436,0.00436470233559931,0.206,0.0877470108699202,0.0163209440218052,0.004,0.0146594334781051,0.00272665462692756
100,1.2,0.1,0.5,0.03,-0.195,0.296383073679379,0.0551272517043645,0.256,0.245307947262006,0.0456272781907331,9647.227,130.294299731492,24.2347397500575,0.093,0.0251895333191522,0.00468525319736232,0.208,0.0929509989814163,0.0172888858105434,0.003,0.0119341628287971,0.00221975428615626
100,1.2,0.1,0.6,0.06,-0.22,0.356576026290681,0.0663231408900667,0.313,0.277745798138943,0.0516607184538434,9661.617,148.774452004091,27.672048072761,0.092,0.0187320499924219,0.00348416129859048,0.212,0.100929030218568,0.0187727996206536,0.004,0.0128216199988121,0.00238482131977906
100,1.2,0.1,0.7,0.08,-0.218,0.352957555893944,0.0656501053962735,0.318,0.265144980161893,0.0493169663101121,9663.489,150.277710010964,27.9516540620393,0.094,0.0207761126420811,0.00386435695142709,0.196,0.100554375257488,0.0187031137978927,0.004,0.0187633046301839,0.00348997466121421
100,1.2,0.1,0.8,0.05,-0.176,0.356123862801365,0.066239038481054,0.288,0.273082135866286,0.0507932772711293,9625.672,159.898822953186,29.7411810692925,0.09,0.0229119878397058,0.00426162973818528,0.206,0.087946775268551,0.0163581001999505,0.007,0.0213437474581095,0.00396993702720837
100,1.2,0.1,0.9,0.02,-0.139,0.33204364079732,0.0617601171883014,0.271,0.235783868674837,0.0438557995735197,9626.601,135.710747296366,25.242198997124,0.092,0.0229697450470082,0.00427237257874353,0.212,0.103903192024164,0.0193259937164946,0.004,0.01836773631599,0.00341639895477414
100,1.2,0.1,1,0.04,-0.173,0.342553844621027,0.063715015099511,0.295,0.24465427493184,0.0455056951373222,9647.867,141.435832564418,26.3070648569817,0.092,0.0249186391211739,0.00463486687653835,0.207,0.0963515728809498,0.0179213925558567,0.006,0.0202093421074885,0.00375893763199286
100,1.6,0.1,0,0.02,-0.241,0.339557954470874,0.0631577795315827,0.323,0.260933838899496,0.0485336940353063,9664.328,153.589635824453,28.5676722633483,0.09,0.0226630420434727,0.00421532582008592,0.219,0.0785700538818917,0.0146140300220319,0.005,0.0194624736040381,0.00362002009035108
100,1.6,0.1,0.1,0.03,-0.212,0.316675261605846,0.0589015986586875,0.29,0.246380885023677,0.045826844614404,9661.659,128.246956144705,23.8539338429151,0.094,0.0247194346319347,0.00459781484153986,0.216,0.100783680624755,0.0187457645962045,0.001,0.00703526470681448,0.00130855923546749
100,1.6,0.1,0.2,0.05,-0.192,0.325644749580418,0.0605699234219577,0.274,0.259377142634451,0.0482441485300078,9641.084,152.42004669975,28.3501286861535,0.091,0.0225078059176475,0.00418645190068244,0.223,0.101048438614312,0.0187950095822621,0.006,0.017254775360093,0.0032093882169773
100,1.6,0.1,0.3,0.05,-0.169,0.334351747279853,0.0621894249940527,0.284,0.243952906533332,0.0453752406151997,9638.063,145.806367426451,27.1199843413198,0.092,0.023570812479701,0.00438417112122439,0.227,0.0953267968729363,0.0177307842183662,0.006,0.017254775360093,0.0032093882169773
100,1.6,0.1,0.4,0.01,-0.224,0.317412148825816,0.0590386596816019,0.296,0.250828109479481,0.0466540283631835,9649.074,139.008310366355,25.8555457281421,0.093,0.024649270852094,0.00458476437848949,0.216,0.0994678866760422,0.0185010269217439,0.005,0.0189296944860009,0.00352092317439617
100,1.6,0.1,0.5,0.03,-0.154,0.311882015214314,0.0580100548298624,0.267,0.222157642409187,0.0413213214881087,9631.37,130.37456194565,24.2496685218909,0.095,0.0259706360180955,0.00483053829936577,0.222,0.0924741866377696,0.0172001987146252,0.005,0.0203143342570841,0.00377846617181764
100,1.6,0.1,0.6,0.02,-0.166,0.332757453300858,0.0618928863139596,0.274,0.250077578872128,0.0465144296702158,9639.633,134.399099655838,24.9982325359858,0.091,0.0220580361596333,0.0041027947256918,0.211,0.105240421317656,0.019574718365084,0.006,0.021649177090293,0.0040267469387945
100,1.6,0.1,0.7,0.02,-0.099,0.332845804685848,0.0619093196715677,0.254,0.236332221222327,0.0439577931473528,9606.363,146.030357161442,27.1616464320282,0.092,0.0202705991495207,0.00377033144181085,0.225,0.0978589597581511,0.0182017665150161,0.012,0.0296230527212381,0.00550988780615029
100,1.6,0.1,0.8,0.07,-0.18,0.360499386934011,0.0670528859697261,0.296,0.272314300547783,0.0506504599018876,9655.476,152.43648633421,28.3531864581632,0.092,0.0223761507946765,0.00416196404780982,0.218,0.0930296077037475,0.017303507032897,0.009,0.026668422331782,0.00496032655371145
