"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"98",1000,0.1,0.8,0,63,63,187,110,110,110,110,110,110,110,24,110,110,110,110,110,190,110,110,110
"99",1000,0.1,0.8,0,62,62,190,109,110,110,109,110,110,67,110,110,110,81,110,110,110,270,270,24
"100",1000,0.1,0.8,0,63,110,109,110,110,190,110,110,110,109,110,110,110,110,110,270,270,12,110,110
"101",1000,0.1,0.9,0,55,55,200,110,110,50,50,58,40,110,110,109,110,109,109,30,44,44,28,110
"102",1000,0.1,0.9,0,84,110,110,110,110,110,287,110,110,110,19,110,109,57,110,109,110,110,110,200
"103",1000,0.1,0.9,0,55,55,200,110,110,110,109,110,110,110,110,109,110,110,110,67,19,110,110,40
"104",1000,0.1,0.9,0,65,110,109,110,110,110,110,110,110,197,110,110,110,110,110,110,110,110,110,110
"105",1000,0.1,0.9,0,67,110,109,109,200,110,110,109,110,110,110,110,110,110,110,110,109,110,110,110
"106",1000,0.1,0.9,0,65,110,110,110,110,110,109,110,110,109,110,110,109,110,110,109,110,110,110,109
"107",1000,0.1,0.9,0,53,110,109,110,109,110,110,110,110,110,29,110,57,57,57,28,110,33,67,67
"108",1000,0.1,0.9,0,59,110,110,110,110,110,110,200,200,200,110,110,110,57,79,110,17,17,199,110
"109",1000,0.1,0.9,0,49,110,110,110,110,109,110,110,110,110,110,110,110,110,110,67,67,200,37,37
"110",1000,0.1,0.9,0,52,52,200,110,110,200,110,110,110,109,110,109,50,110,110,110,110,110,197,110
"111",1000,0.1,1,0,59,59,210,110,110,58,58,209,110,110,110,209,43,43,210,32,44,35,110,110
"112",1000,0.1,1,0,52,110,110,110,110,110,110,110,110,109,110,110,210,110,110,110,110,110,110,110
"113",1000,0.1,1,0,52,110,110,110,110,110,110,110,110,110,110,110,110,109,110,110,110,110,110,109
"114",1000,0.1,1,0,68,110,110,36,110,110,109,110,110,210,38,110,110,20,17,110,40,110,109,110
"115",1000,0.1,1,1,66,110,110,210,210,13,110,109,110,110,110,110,110,110,110,110,110,109,110,0
"116",1000,0.1,1,0,55,110,109,110,110,109,110,110,110,110,110,110,110,110,27,109,110,110,24,110
"117",1000,0.1,1,0,65,110,110,210,110,45,110,110,33,67,38,38,209,110,67,63,55,27,110,109
"118",1000,0.1,1,0,58,110,110,109,110,110,110,209,110,21,110,110,110,110,110,110,402,31,40,40
"119",1000,0.1,1,0,52,110,110,110,110,110,110,110,110,392,66,25,110,110,110,82,29,110,110,110
"120",1000,0.1,1,0,58,110,110,110,109,110,110,110,110,210,210,209,209,49,44,65,16,16,209,110
"121",1000,0.2,0,0,62,110,110,110,110,110,110,110,109,109,109,109,109,109,109,18,18,109,110,109
"122",1000,0.2,0,0,40,110,109,110,109,110,110,110,109,110,109,110,109,110,109,110,109,110,109,110
"123",1000,0.2,0,0,51,110,110,110,110,110,110,110,29,110,109,110,109,110,109,110,109,110,109,110
"124",1000,0.2,0,0,70,110,110,110,110,110,110,110,110,45,110,110,110,110,110,21,16,16,110,110
"125",1000,0.2,0,0,63,110,110,109,110,110,110,34,110,29,29,110,110,110,110,110,110,109,110,110
"126",1000,0.2,0,0,67,110,110,109,110,110,109,109,109,109,22,40,40,110,110,110,109,110,109,110
"127",1000,0.2,0,0,72,110,110,110,110,110,110,110,110,110,110,110,24,24,110,110,110,110,110,109
"128",1000,0.2,0,0,45,110,110,110,110,110,110,110,109,110,109,109,109,109,109,30,28,110,110,110
"129",1000,0.2,0,1,52,52,110,110,110,110,109,110,109,110,110,110,110,0,0,0,0,0,0,0
"130",1000,0.2,0,0,46,110,110,110,109,110,110,109,110,110,109,110,109,110,110,110,110,110,110,109
"131",1000,0.2,0.1,0,65,65,120,110,110,120,110,110,110,110,140,140,39,39,120,120,120,120,120,120
"132",1000,0.2,0.1,0,65,110,110,110,109,40,110,110,109,109,109,109,109,109,109,109,109,14,14,120
"133",1000,0.2,0.1,0,67,110,110,110,120,120,120,120,120,22,22,120,110,110,110,120,120,120,120,32
"134",1000,0.2,0.1,0,64,110,110,120,43,110,110,110,110,110,110,120,110,110,109,110,110,110,109,110
"135",1000,0.2,0.1,0,58,58,120,110,110,109,110,110,110,110,110,110,110,130,110,110,110,110,10,110
"136",1000,0.2,0.1,0,47,110,110,109,110,110,110,110,110,109,110,110,110,110,110,110,109,110,110,110
"137",1000,0.2,0.1,0,76,110,109,110,109,109,109,109,140,36,36,120,120,119,119,119,32,32,32,32
"138",1000,0.2,0.1,0,53,110,110,110,109,110,110,120,110,110,110,110,110,110,14,14,120,110,110,109
"139",1000,0.2,0.1,0,58,110,110,110,129,129,129,129,129,129,10,109,110,110,120,110,110,120,110,110
"140",1000,0.2,0.1,0,56,110,110,110,110,110,110,110,110,110,110,110,110,110,120,110,110,110,129,110
"141",1000,0.2,0.2,0,55,55,130,130,130,130,130,130,130,130,210,17,17,130,110,110,110,110,110,110
"142",1000,0.2,0.2,0,61,61,130,110,109,110,110,130,110,110,110,129,129,129,148,148,148,40,40,25
"143",1000,0.2,0.2,0,67,110,110,110,109,109,23,23,130,110,109,110,110,110,110,110,110,110,110,110
"144",1000,0.2,0.2,0,54,110,109,110,110,110,109,110,109,110,110,110,110,110,110,110,109,110,109,110
"145",1000,0.2,0.2,0,49,110,110,110,110,110,110,110,109,110,109,110,110,109,110,110,110,109,110,110
"146",1000,0.2,0.2,0,56,109,110,110,110,110,110,110,110,110,130,110,110,110,110,110,110,110,110,110
"147",1000,0.2,0.2,0,60,60,60,150,110,110,130,130,130,15,110,109,110,109,110,109,110,110,110,110
"148",1000,0.2,0.2,0,58,109,110,110,110,110,110,110,110,109,109,109,109,109,109,109,15,15,130,110
"149",1000,0.2,0.2,0,66,66,130,110,110,110,110,110,110,110,110,110,110,109,110,110,130,110,110,110
"150",1000,0.2,0.2,0,64,110,110,109,109,130,130,130,22,110,110,24,110,110,110,110,110,31,31,130
"151",1000,0.2,0.3,0,71,71,71,170,170,170,170,170,39,32,36,36,140,140,140,140,31,31,44,23
"152",1000,0.2,0.3,0,63,110,110,140,110,110,110,110,110,14,110,110,110,140,33,110,109,110,109,109
"153",1000,0.2,0.3,0,53,110,109,110,109,110,110,110,110,170,110,110,110,33,33,33,170,170,170,13
"154",1000,0.2,0.3,0,57,57,140,110,110,110,110,110,170,27,27,27,170,110,110,109,110,110,110,110
"155",1000,0.2,0.3,0,42,110,110,110,110,110,109,110,109,110,110,109,109,140,110,110,110,110,109,110
"156",1000,0.2,0.3,1,58,109,110,110,110,109,109,109,170,170,13,13,140,110,110,0,0,0,0,0
"157",1000,0.2,0.3,0,63,110,109,110,109,109,109,170,170,170,34,110,110,27,27,27,170,110,110,110
"158",1000,0.2,0.3,0,59,59,59,170,110,110,109,110,110,110,40,110,110,110,110,45,45,139,139,140
"159",1000,0.2,0.3,1,58,109,110,110,109,110,110,110,19,19,140,110,110,110,110,109,110,0,0,0
"160",1000,0.2,0.3,0,66,110,110,110,110,198,110,110,110,140,140,17,110,109,109,109,109,25,27,27
"161",1000,0.2,0.4,0,61,110,110,110,109,109,150,150,150,110,110,110,109,110,109,110,109,110,109,110
"162",1000,0.2,0.4,0,56,110,110,110,110,150,150,40,40,150,24,110,110,110,110,110,25,25,150,110
"163",1000,0.2,0.4,0,65,110,110,110,150,110,110,150,110,110,150,150,41,28,28,150,41,41,150,150
"164",1000,0.2,0.4,0,56,109,110,109,110,110,110,110,110,110,110,109,110,110,110,110,110,110,110,110
"165",1000,0.2,0.4,0,62,110,110,109,109,109,109,36,36,36,190,190,190,23,23,148,110,110,109,109
"166",1000,0.2,0.4,0,51,110,110,110,110,110,110,109,110,109,110,110,109,110,109,110,110,110,110,110
"167",1000,0.2,0.4,0,61,110,110,110,110,110,150,110,110,110,110,109,110,110,110,110,110,109,110,110
"168",1000,0.2,0.4,0,71,110,110,150,150,150,150,150,41,41,150,31,110,110,110,189,110,110,110,22
"169",1000,0.2,0.4,0,50,110,110,150,110,109,110,110,110,110,45,44,30,30,30,190,190,150,110,110
"170",1000,0.2,0.4,0,72,110,110,110,190,190,190,190,30,110,110,14,110,110,150,150,24,44,14,110
