"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"82",1000,0.1,0.7,0,1500,1000,700,69,110,110,110,110,110,110,110,110,84,41,86,42,47,42,61,40,40,40,248
"83",1000,0.1,0.7,0,1500,1000,700,76,110,109,110,110,110,110,110,110,81,38,57,44,64,42,55,82,51,33,87
"84",1000,0.1,0.7,0,1500,1000,700,50,110,110,110,110,110,110,110,59,67,26,68,81,59,39,69,33,33,33,250
"85",1000,0.1,0.7,0,1500,1000,700,51,110,110,110,110,110,110,110,110,110,48,48,48,48,320,320,52,37,63,36
"86",1000,0.1,0.7,0,1500,1000,700,57,110,109,110,110,110,110,110,110,110,59,33,33,33,249,249,249,41,47,51
"87",1000,0.1,0.7,0,1500,1000,700,66,110,110,110,109,110,110,110,110,110,46,48,57,57,52,58,61,47,54,38
"88",1000,0.1,0.7,0,1500,1000,700,53,110,109,110,110,110,109,110,110,109,110,109,110,110,110,110,87,37,37,37
"89",1000,0.1,0.7,0,1500,1000,700,58,110,110,110,110,110,110,110,110,110,43,35,60,53,40,47,60,66,24,24
"90",1000,0.1,0.7,0,1500,1000,700,60,110,110,110,109,110,109,109,109,60,73,32,32,32,250,110,110,110,110,34
"91",1000,0.1,0.8,0,1500,1000,700,67,110,110,110,110,110,109,109,109,63,51,69,42,43,43,61,61,61,85,52
"92",1000,0.1,0.8,0,1500,1000,700,51,110,110,110,110,109,110,110,110,110,110,110,109,109,109,55,35,46,52,43
"93",1000,0.1,0.8,0,1500,1000,700,52,110,110,109,110,110,110,110,60,55,61,51,65,39,88,60,44,73,80,61
"94",1000,0.1,0.8,0,1500,1000,700,53,110,110,110,110,110,77,36,80,34,43,49,54,45,61,35,47,69,28,83
"95",1000,0.1,0.8,0,1500,1000,700,58,110,110,110,110,110,110,110,110,62,40,65,43,47,89,35,58,39,88,33
"96",1000,0.1,0.8,0,1500,1000,700,62,110,109,110,109,110,109,110,110,110,110,110,110,110,110,50,49,83,76,66
"97",1000,0.1,0.8,0,1500,1000,700,59,110,110,110,110,110,110,110,110,110,110,47,37,37,37,270,270,71,45,49
"98",1000,0.1,0.8,0,1500,1000,700,54,110,110,109,110,110,110,110,109,110,110,110,110,110,110,110,110,110,110,110
"99",1000,0.1,0.8,0,1500,1000,700,53,110,109,110,110,110,109,109,109,109,37,37,37,37,347,347,347,20,20,190
"100",1000,0.1,0.8,0,1500,1000,700,58,110,110,109,110,110,110,110,110,110,110,110,110,109,109,109,59,52,46,50
"101",1000,0.1,0.9,0,1500,1000,700,59,110,110,110,109,110,110,109,110,110,110,109,110,110,109,110,110,110,110,110
"102",1000,0.1,0.9,0,1500,1000,700,64,110,110,110,110,110,110,110,110,74,32,80,33,67,50,46,70,50,52,42
"103",1000,0.1,0.9,0,1500,1000,700,68,110,110,110,110,110,110,110,55,74,63,44,48,69,69,48,50,80,59,46
"104",1000,0.1,0.9,0,1500,1000,700,61,110,110,110,109,110,110,110,110,78,34,52,47,76,41,50,64,37,62,41
"105",1000,0.1,0.9,0,1500,1000,700,59,110,110,110,110,67,73,45,74,43,79,30,30,200,200,53,49,54,43,57
"106",1000,0.1,0.9,0,1500,1000,700,62,110,110,110,110,109,109,109,109,109,79,38,71,54,63,39,60,46,73,43
"107",1000,0.1,0.9,0,1500,1000,700,58,110,110,110,110,110,110,110,70,52,45,32,32,32,286,286,286,34,88,36
"108",1000,0.1,0.9,0,1500,1000,700,64,110,110,109,110,110,110,69,33,83,38,56,35,58,43,40,61,40,42,78
"109",1000,0.1,0.9,0,1500,1000,700,63,110,109,110,110,110,110,109,110,110,110,110,110,110,110,110,110,109,110,110
"110",1000,0.1,0.9,0,1500,1000,700,59,110,110,110,109,110,110,110,110,109,110,110,110,109,110,110,109,110,110,110
"111",1000,0.1,1,0,1500,1000,700,51,110,110,110,110,110,109,110,110,110,110,110,55,59,57,87,30,69,45,48
"112",1000,0.1,1,0,1500,1000,700,65,110,109,110,110,110,110,110,110,110,109,110,110,110,110,110,109,110,110,110
"113",1000,0.1,1,0,1500,1000,700,55,110,110,109,110,110,110,110,109,110,110,110,109,110,110,110,110,110,109,110
"114",1000,0.1,1,0,1500,1000,700,68,110,110,110,109,109,109,109,109,89,88,37,37,37,310,110,110,110,110,74
"115",1000,0.1,1,0,1500,1000,700,72,110,110,110,110,109,110,110,110,109,110,109,110,110,110,109,110,109,110,110
"116",1000,0.1,1,0,1500,1000,700,69,110,110,110,110,110,109,110,109,110,110,110,110,46,40,56,67,32,66,78
"117",1000,0.1,1,0,1500,1000,700,66,110,109,110,110,109,110,110,110,110,110,110,110,110,109,110,110,110,109,110
"118",1000,0.1,1,0,1500,1000,700,41,110,110,110,110,109,110,110,110,110,109,109,109,35,69,51,42,42,53,72
"119",1000,0.1,1,0,1500,1000,700,58,109,110,110,110,110,110,110,110,110,64,38,38,53,52,39,39,63,24,24
"120",1000,0.1,1,0,1500,1000,700,64,110,110,110,109,110,110,110,110,110,110,110,110,110,82,63,31,61,62,61
"121",1000,0.2,0,0,1500,1000,700,51,110,109,110,110,110,109,110,110,110,110,109,110,110,109,110,110,109,110,110
"122",1000,0.2,0,0,1500,1000,700,55,110,109,110,109,109,109,109,109,109,21,21,110,110,110,110,110,27,37,36
"123",1000,0.2,0,0,1500,1000,700,70,110,109,110,110,110,110,110,110,40,40,40,40,40,40,110,110,110,110,110
"124",1000,0.2,0,0,1500,1000,700,61,110,109,110,110,110,110,110,110,110,110,110,42,42,42,42,42,110,110,110
"125",1000,0.2,0,0,1500,1000,700,60,110,110,110,110,110,110,34,34,34,34,110,110,110,110,110,110,31,31,31
"126",1000,0.2,0,0,1500,1000,700,56,110,110,110,110,110,109,110,110,110,110,110,110,35,35,35,110,110,110,110
"127",1000,0.2,0,0,1500,1000,700,46,110,110,109,110,110,110,109,110,110,110,110,109,110,110,110,110,110,110,110
"128",1000,0.2,0,0,1500,1000,700,72,110,110,110,110,110,110,32,32,32,32,110,110,109,110,110,110,110,110,31
