"rep","scar","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci"
100,0,0.1,0.9,9636.8,-0.14829,0.55197378240696,0.102667123527695,9636.8046875,228.731330321868,42.5440274398675,0.107,0.0256432399976243,0.00476964263955812,4.22,2.16762216693451,0.403177723049819
100,0,0.1,1,9601.9,-0.06541,0.573558695929865,0.106681917442955,9601.9044921875,238.643202494343,44.3876356639477,0.108,0.0272659924344291,0.00507147459280381,3.94,2.2733413311865,0.422841487600689
100,0,0.2,0,9524.96,0.12713,0.781982815887558,0.145448803755086,9524.9646484375,322.926135941935,60.0642612851999,0.112,0.032659863237109,0.00607473456210228,6.17,2.97822060630135,0.553949032772051
100,0,0.2,0.1,9498.72,0.18788,0.754131091141496,0.140268382952318,9498.7226171875,312.004329453507,58.0328052783523,0.113,0.0337997668989631,0.00628675664320714,5.81,2.86284099905297,0.532488425823852
100,0,0.2,0.2,9492.08,0.2062,0.732469311936884,0.136239292020261,9492.08220703125,302.189064867286,56.2071660653153,0.119,0.0419114024647906,0.00779552085845106,5.99,2.86213524869427,0.532357156257133
100,0,0.2,0.3,9500.12,0.1803,0.681358632335854,0.126732705614469,9500.115703125,281.454504003927,52.3505377447305,0.112,0.0408989886516436,0.00760721188920571,6.41,2.85365263010993,0.530779389200447
100,0,0.2,0.4,9562.67,0.03037,0.653904615028488,0.121626258395299,9562.67201171875,271.594647228382,50.5166043844791,0.104,0.0315268043724605,0.00586398561327765,6.34,2.72370810818374,0.506609708122176
100,0,0.2,0.5,9551.44,0.05932,0.672952395692806,0.125169145598862,9551.4427734375,278.764843703885,51.8502609289227,0.11,0.0333333333333333,0.0062,6.21,3.1311243018985,0.582389120153122
100,0,0.2,0.6,9584.98,-0.02086,0.678551383612192,0.126210557351868,9584.9790234375,281.364770575405,52.3338473270254,0.104,0.0242878362539562,0.00451753754323586,5.95,3.0330669213677,0.564150447374393
100,0,0.2,0.7,9540.57,0.08811,0.71177088719516,0.1323893850183,9540.5681640625,293.472909791532,54.5859612212249,0.109,0.0287623491264661,0.0053497969375227,6.1,2.88325013017104,0.536284524211813
100,0,0.2,0.8,9586.39,-0.02485,0.716759660985579,0.133317296943318,9586.390625,297.796222271392,55.3900973424789,0.111,0.0373219679669936,0.0069418860418608,5.83,2.67443942960506,0.497445733906542
100,0,0.2,0.9,9553.54,0.0559,0.720480290143213,0.134009333966638,9553.5412109375,298.088571490787,55.4444742972864,0.113,0.0441645225322889,0.00821460119100573,5.95,2.79022463886934,0.518981782829697
100,0,0.2,1,9572.92,0.00594999999999999,0.658051092164575,0.122397503142611,9572.92181640625,272.83296348525,50.7469312082566,0.107,0.0256432399976243,0.00476964263955812,6.71,3.11819359776318,0.579984009183952
100,0,0.3,0,9459.28,0.28382,0.773680177966179,0.143904513101709,9459.279921875,319.874069071017,59.4965768472092,0.114,0.0402517331328978,0.00748682236271899,8.01,3.45386622774999,0.642419118361497
100,0,0.3,0.1,9535.94,0.10002,0.806829071805863,0.150070207355891,9535.9400390625,334.415552046673,62.2012926806811,0.106,0.0277797979063414,0.00516704241057951,7.55,3.86221007541882,0.718371074027901
100,0,0.3,0.2,9500.96,0.18697,0.791156275091187,0.147155067166961,9500.964140625,325.789459071837,60.5968393873618,0.114,0.0348735088019777,0.00648647263716785,7.75,3.57142135641407,0.664284372293017
100,0,0.3,0.3,9452.3,0.29906,0.705495682467156,0.131222196938891,9452.296953125,289.910256301507,53.9233076720803,0.113,0.0337997668989631,0.00628675664320714,8.35,3.27332345860388,0.608838163300322
100,0,0.3,0.4,9488.65,0.21305,0.763332438467121,0.141979833554885,9488.650390625,314.799893546667,58.55278019968,0.108,0.03673547263198,0.00683279790954828,7.77,3.3810374356718,0.628872963034955
100,0,0.3,0.5,9525.89,0.1235,0.803650867710424,0.149479061394139,9525.88546875,334.221440670343,62.1651879646837,0.11,0.0301511344577764,0.0056081110091464,7.66,3.79318900508304,0.705533154945445
100,0,0.3,0.6,9501.26,0.18101,0.810318586742401,0.150719257134087,9501.26240234375,336.549517408252,62.5982102379349,0.113,0.0393251147037697,0.00731447133490117,7.34,3.438404610081,0.639543257475066
100,0,0.3,0.7,9496.2,0.19647,0.785449565085454,0.146093619105895,9496.20359375,323.860491851563,60.2380514843906,0.109,0.0350900716914789,0.00652675333461508,7.93,3.26058493853697,0.606468798567877
100,0,0.3,0.8,9482.91,0.22802,0.761648252280553,0.141666574924183,9482.90869140625,313.412569787667,58.294737980506,0.116,0.0368452949177471,0.00685322485470096,7.78,3.38618703356188,0.62983078824251
100,0,0.3,0.9,9439.68,0.33169,0.759138888757678,0.141199833308928,9439.68309570313,313.648243383043,58.3385732692461,0.116,0.041971611377408,0.00780671971619788,8,3.04511531353531,0.566391448317568
100,0,0.3,1,9493.11,0.20458,0.824173919813658,0.15329634908534,9493.10875,341.103971908048,63.4453387748969,0.108,0.03673547263198,0.00683279790954828,7.84,3.81840307199253,0.710222971390611
100,0,0.4,0,9438.32,0.33845,0.828486625350004,0.154098512315101,9438.324296875,341.445696032795,63.5088994620998,0.113,0.0393251147037697,0.00731447133490117,8.9,4.30527043695905,0.800780301274383
