"","rep","memory","budget","ratio","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"59",10,1,1000,0.3,0.1,0.5,1,0,1,1,-0.81965,0.540625269869168,-0.92,-0.71605,0.81965,0.570905710004093,0.71195,0.922,39647.3125,1209.81605758088,39408.525,39865.05,0.0110372825842421,0.0325284672764219,0.00559845315089251,0.0174234535086735,0,0,0,0,1238.63333333333,251.599686524013,1193.68333333333,1286.4
"60",10,1,1000,0.3,0.1,0.6,1,0,1,1,-0.8383,0.510508624852324,-0.9244,-0.73875,0.8383,0.489993027710032,0.75065,0.9249,39505.95,1720.8953899936,39158.6625,39812.1,0.0124996239769519,0.0367892498370273,0.00555409927768619,0.0195855449288479,0,0,0,0,1237.96666666667,244.879068061531,1194.71666666667,1282.6
"61",10,1,1000,0.3,0.1,0.7,1,0,1,1,-0.6877,0.487400256802182,-0.76575,-0.611,0.6877,0.506221274521111,0.6114,0.79995,39482.6125,1869.75633968447,39118.225,39793.6375,0.0141229816299893,0.0378741948764153,0.00747403493448901,0.0213414833869057,0,0,0,0,1190.53833333333,242.816146201153,1154.2,1241.59
"62",10,1,1000,0.3,0.1,0.8,1,0,1,1,-0.77805,0.53338532454919,-0.8816,-0.6839,0.77805,0.542407762041929,0.687,0.8821,39494.25,1608.85362813401,39173.525,39772.95,0.0170160574712318,0.0483855422056965,0.00759397962000049,0.0256441847680488,0,0,0,0,1217.02666666667,272.569784824679,1166.47333333333,1267.45166666667
"63",10,1,1000,0.3,0.1,0.9,1,0,1,1,-0.7574,0.585002046909999,-0.8657,-0.6504,0.7574,0.590418592868182,0.6507,0.86535,39432.3125,1903.82269622327,39066.375,39759.675,0.0160383990310326,0.0424785507197106,0.00807516823525026,0.0243008497154729,0,0,0,0,1200.05,310.073092725831,1145.93333333333,1259.91666666667
"64",10,1,1000,0.3,0.1,1,1,0,1,1,-0.7969,0.590123860642596,-0.90795,-0.6919,0.7969,0.591464377125631,0.68935,0.90195,39514.6125,2404.37778144015,39038.825,39899.475,0.0118049668387727,0.0402384847801832,0.00501721034341302,0.0192077319086253,0,0,0,0,1245.56,261.528170172474,1198.35166666667,1293.46666666667
"65",10,1,1000,0.3,0.3,0,1,0,1,1,-0.7842,0.5655802741234,-0.8906,-0.6821,0.7842,0.564409300978318,0.6833,0.89035,39584.3125,1390.62497898814,39288.1375,39798.625,0.0121013881523751,0.0256605211529525,0.00782022226576417,0.0169892900636167,0,0,0,0,1218.49166666667,260.377474464217,1173.86666666667,1271.675
"66",10,1,1000,0.3,0.3,0.1,1,0,1,1,-0.82755,0.584370480290068,-0.9383,-0.71875,0.82755,0.609041516278744,0.71645,0.93815,39707.5125,1273.58884488794,39448.75,39916.2,0.00907267658057008,0.0268279827612529,0.00388142782253171,0.0140838117294629,0,0,0,0,1235.97833333333,276.530086647141,1186.22333333333,1290.21666666667
"67",10,1,1000,0.3,0.3,0.2,1,0,1,1,-0.8143,0.555360242903199,-0.91585,-0.713,0.8143,0.529656148720564,0.71505,0.91355,39375.8625,2169.52926284917,38907.95,39726.4875,0.0158135879749626,0.0386829702284832,0.00868180617877536,0.022795298666952,0,0,0,0,1212.70666666667,201.899115530073,1177.88,1250.015
"68",10,1,1000,0.3,0.3,0.3,1,0,1,1,-0.8171,0.565189869463499,-0.91985,-0.7093,0.8171,0.555654858590544,0.71045,0.9141,39561.5875,1683.23555444339,39224.4375,39829.8625,0.0151693459151034,0.0467532812303091,0.0074606800438317,0.0243722829488455,0,0,0,0,1241.08166666667,268.393708035434,1192.15833333333,1291.59
