"Fitness_calls","Mean_Fitness","LCI","UCI"
90,9614683.54811635,9204507.58700116,9837989.04805626
92,9614276.00062248,9077347.99155288,9845315.34307472
94,9614632.3999164,9208517.97426032,9842980.85726608
96,9613969.63867222,9183376.65442221,9845019.74418883
98,9616945.2519309,9184027.91354872,9841707.64238167
100,9612702.65598711,9199976.31297461,9839397.10985056
102,9614401.30699175,9197346.41053355,9842757.61307716
104,9612482.83273505,9176005.04117456,9846506.99471922
106,9614749.22694229,9199664.43474649,9840623.98606239
108,9616711.33341218,9198844.88899023,9845161.7912965
110,9615385.28426462,9198770.21979492,9844551.34090041
112,9614993.04123099,9213015.95694109,9843952.53830419
114,9615506.86550866,9163187.95053969,9841927.89807209
116,9617020.11154553,9225562.44811412,9841215.16744178
118,9612479.23083094,9197275.55885455,9842857.29706449
120,9615418.14864152,9215028.52183782,9844255.82465509
122,9611658.05227165,9144875.36265608,9844046.95956659
124,9614560.73275452,9212808.48186528,9847157.23131877
126,9614798.74250343,9208730.24693997,9845579.02887904
128,9615962.95828301,9217605.30597627,9845570.44677383
130,9616073.23988218,9204079.1424571,9844918.74179287
132,9615897.53647752,9133313.08003601,9845300.14049814
134,9614046.53876129,9170460.47438794,9843116.65433994
136,9615835.75073102,9184675.3022131,9842737.39414821
138,9615114.93353775,9063554.52924564,9842525.15651116
140,9616560.9394447,9215515.05115229,9845093.94336646
142,9615030.19174862,9204739.94988611,9848669.00712757
144,9616473.22766532,9211452.90656757,9840212.0382149
146,9615535.72723993,9198002.60811074,9843387.72825754
148,9615346.01228797,9202800.80298936,9841562.55927726
150,9616978.42789523,9073234.2782561,9843939.40555728
152,9616645.28841387,9215258.42011444,9844353.60838906
154,9614080.94584197,9217558.79683613,9840962.13435909
156,9616435.11808989,9209982.72791072,9843063.84720028
158,9617498.24439591,9167262.37368278,9841479.66267399
160,9615331.18284249,9190709.5985995,9841905.09660789
162,9616635.89998222,9208783.00235584,9849665.0669799
164,9614262.47706092,9200223.05318997,9842394.7061262
166,9614974.76441319,9217481.73869113,9844215.49188754
168,9614037.16368991,9223587.72518507,9847478.54280138
170,9614298.63549547,9177193.3511471,9841544.00385314
172,9614511.55040392,9207624.70558101,9842542.14464988
174,9610884.98043432,9200187.78471448,9839970.6160083
176,9612680.71283878,9191859.97236399,9840143.84313835
178,9616564.14788463,9226332.80452011,9845736.58769536
180,9614546.20928279,9193520.90829472,9847701.9642006
182,9616203.96712694,9214755.72305138,9850482.75584635
184,9614828.55888058,9202532.69926555,9843376.80324478
186,9615148.29289589,9210344.73659096,9847748.34319705
188,9614150.9539236,9207953.30417451,9843690.57349907
190,9616667.91140366,9209840.2456394,9846641.17523809
192,9615298.51972311,9205907.44258878,9845968.58202326
194,9615818.65104575,9071183.36397511,9844976.62803806
196,9613800.09405969,9201889.02927093,9844405.08048057
198,9613673.50045337,9199192.10590062,9845413.78215706
200,9614510.38691342,9199259.94902109,9840427.7678137
202,9617038.47251772,9215571.45979645,9847055.09860214
204,9614501.67404101,9180997.56597669,9844456.45662757
206,9617036.9891972,9215135.99609576,9843772.89883196
208,9616624.29578856,9207745.53405583,9850933.28320535
210,9617176.88949889,9071786.66592124,9846183.43897091
212,9616704.94557453,9194729.85754562,9841087.48004664
214,9614591.40400113,9209225.44901113,9843081.66655149
216,9616208.19510359,9214363.26331627,9842474.26468748
218,9615791.59446809,9196779.28127622,9848627.89799909
220,9615866.35300739,9207718.76225664,9844176.15712244
222,9613197.69907255,9160669.31742113,9844619.8423782
224,9617566.25035181,9205960.32366049,9842340.36754111
