"Fitness_calls","Mean_Fitness","LCI","UCI"
233,9793182.71443023,9733422.2775008,9848180.34891769
235,9792337.8639005,9728201.98904175,9845496.98654595
237,9794214.62020601,9735064.36552356,9852358.42236433
239,9792847.35974775,9737825.32396176,9842160.27267585
241,9794117.38416639,9729812.1727652,9846679.50483531
243,9794087.97538737,9739615.07997058,9850397.65573595
245,9794149.53635672,9735652.01332193,9847321.80999042
247,9793165.54583529,9731633.74566713,9844849.6493744
249,9793838.84824872,9731496.55252787,9849774.26156861
251,9793870.79344453,9733000.02687095,9846412.38296553
253,9794589.31233476,9731496.28780903,9848322.59292936
255,9794806.3547733,9734357.16903403,9847430.438622
257,9793532.08787361,9729837.06137836,9845268.12814811
259,9793227.18482963,9731575.62331038,9845568.33423247
261,9792984.5036108,9738032.43412953,9848399.24354473
263,9793228.07487069,9735500.33288465,9848652.98870225
265,9793403.8843788,9730945.36501074,9847318.83371172
267,9792136.19933657,9731299.5012225,9847778.17067434
269,9794518.11682199,9737895.83007242,9848535.43939042
271,9794323.36115213,9736988.99208163,9849441.83769072
273,9793486.37840005,9732442.41603315,9847456.78567668
275,9794642.98221169,9738381.44038109,9848248.29199658
277,9793960.01836733,9736466.35363915,9847915.34653801
279,9794309.48378202,9734561.81011159,9845372.75067686
281,9793229.28303364,9738471.84970295,9847135.01216696
283,9793162.39952438,9735625.8106094,9846262.19049065
285,9794192.94093211,9735810.86467771,9845261.19624429
287,9793500.54708129,9733445.32319478,9848965.12064449
289,9794049.36693162,9732109.26105334,9845106.73456923
291,9793954.22595441,9734741.82464928,9845198.4603257
293,9793920.44520547,9732877.65269928,9843716.91371268
295,9793354.74579638,9736134.23266869,9844075.46078363
297,9793527.40967976,9733065.50956537,9844387.46861965
299,9793010.13661802,9730683.94248775,9845731.15153504
301,9793482.2812296,9732737.0061156,9847053.4236622
303,9793450.29982229,9736429.12802159,9844753.46583744
305,9793413.6765525,9736174.8142895,9844808.56507538
307,9793761.90088606,9733204.13361122,9848314.30325083
309,9792902.5363006,9733557.86272195,9846957.16777348
311,9793359.33717365,9733842.79465055,9847431.82511481
313,9793164.96732665,9736415.38878359,9851044.58483035
315,9794116.33338961,9731916.68510886,9847726.90477981
317,9793764.90919576,9734090.25241694,9847431.57459974
319,9793194.53941113,9731491.42223516,9848371.63115895
321,9793579.45628332,9731066.28134118,9846885.55561756
323,9793431.86027624,9737559.0437323,9845796.29201159
325,9793699.05022427,9733860.36530601,9851665.14220541
327,9793373.65080674,9736225.71755776,9845759.81516753
329,9794428.52836047,9736727.04859514,9843029.10735165
331,9793837.6692213,9737130.26158891,9847138.63454449
333,9790774.55285739,9726587.75595322,9843176.32880423
335,9792189.66423844,9736407.05419356,9843587.26513007
337,9793561.89353859,9736723.00280703,9849726.10264375
339,9794213.3842532,9733207.75136705,9846207.12183703
341,9794152.09662592,9735973.94939698,9848039.94642867
343,9792812.81707036,9730214.9486638,9846262.20295971
345,9793559.50897984,9739592.67300888,9848223.80095712
347,9793081.19923708,9733743.85787596,9849995.27712901
349,9793247.39995996,9734516.14156206,9845970.31837937
