"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"229",1000,0.2,1,1,15,9,9,9,9,4,4,4,62,62,4,9,9,9,9,0,0,0,0,0
"230",1000,0.2,1,0,20,9,9,9,9,9,9,24,9,9,9,9,25,25,25,32,66,9,9,9
"231",1000,0.3,0,0,14,9,9,9,9,9,9,9,9,9,9,66,9,9,9,9,52,52,9,9
"232",1000,0.3,0,0,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"233",1000,0.3,0,0,17,17,9,9,9,9,9,9,9,9,9,9,45,45,9,9,9,47,47,9
"234",1000,0.3,0,0,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"235",1000,0.3,0,1,17,17,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0
"236",1000,0.3,0,0,17,9,9,9,9,9,9,9,9,9,9,9,45,45,9,9,9,9,9,9
"237",1000,0.3,0,0,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,71,9,55,55
"238",1000,0.3,0,0,17,9,9,9,9,9,9,9,9,9,9,40,52,9,9,9,9,9,9,9
"239",1000,0.3,0,0,12,12,9,9,9,9,50,50,9,9,9,9,9,9,9,9,9,9,9,9
"240",1000,0.3,0,0,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"241",1000,0.3,0.1,1,16,9,9,9,9,9,9,9,37,37,37,7,9,9,9,9,0,0,0,0
"242",1000,0.3,0.1,0,22,9,9,8,9,9,9,9,9,37,37,37,7,9,9,9,9,9,9,9
"243",1000,0.3,0.1,0,14,14,14,7,9,9,9,9,9,8,8,8,8,8,6,6,6,71,71,8
"244",1000,0.3,0.1,1,18,9,9,9,8,9,9,9,8,9,9,9,9,9,9,9,9,9,0,0
"245",1000,0.3,0.1,0,17,9,9,9,9,9,9,8,9,9,9,9,9,9,6,6,6,76,9,9
"246",1000,0.3,0.1,0,18,9,9,8,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,8
"247",1000,0.3,0.1,0,19,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,9,9,9,9
"248",1000,0.3,0.1,0,15,9,9,9,8,8,8,8,8,8,35,50,50,8,8,8,9,9,9,9
"249",1000,0.3,0.1,1,21,21,8,9,9,9,8,9,9,9,9,9,9,9,9,9,0,0,0,0
"250",1000,0.3,0.1,0,16,16,16,7,9,9,8,8,8,9,9,9,9,9,9,9,9,9,9,9
