"rep","budget","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci","overK_tot","overK_sd","overK_95ci"
100,1000,0.1,0.9,0.04,-0.222,0.369651361270169,0.0687551531962514,0.343,0.260218497933307,0.0484006406155952,9665.778,145.481514786334,27.0595617502581,0.094,0.021792807209207,0.0040534621409125,0.166,0.111120683295335,0.0206684470929323,0.002,0.0130558241966773,0.00242838330058198
100,1000,0.1,1,0.05,-0.23,0.342319258510933,0.0636713820830335,0.315,0.265510376445065,0.049384930018782,9664.106,139.580521581157,25.9619770140951,0.095,0.0208048662423205,0.00386970512107161,0.17,0.0994259067167049,0.0184932186493071,0.002,0.00984731927834662,0.00183160138577247
100,1000,0.2,0,0.1,-0.377,0.344423596811258,0.064062789006894,0.412,0.301210868618211,0.0560252215629873,9727.139,139.4505837475,25.937808577035,0.091,0.0244526756915641,0.00454819767863093,0.27,0.15125873085063,0.0281341239382171,0.002,0.0130558241966773,0.00242838330058198
100,1000,0.2,0.1,0.12,-0.398,0.3623569135925,0.0673983859282051,0.435,0.316288624582681,0.0588296841723786,9734.279,147.77185746114,27.4855654877721,0.097,0.0223934375925497,0.00416517939221424,0.314,0.181978499509011,0.033848000908676,0.004,0.0170616085070689,0.00317345918231481
100,1000,0.2,0.2,0.1,-0.355,0.386949042138782,0.0719725218378135,0.426,0.306443623763743,0.0569985140200562,9726.323,149.786007419792,27.8601973800812,0.099,0.022887015075852,0.00425698480410847,0.26,0.14063868784995,0.0261587959400908,0.001,0.00703526470681448,0.00130855923546749
100,1000,0.2,0.3,0.12,-0.392,0.340583278651448,0.0633484898291693,0.418,0.308129404142107,0.0573120691704318,9728.224,154.772718109351,28.7877255683393,0.092,0.0209135876468584,0.00388992730231566,0.281,0.1390503861838,0.0258633718301868,0.003,0.0142156862745098,0.00264411764705882
100,1000,0.2,0.4,0.06,-0.377,0.373943261914576,0.0695534467161111,0.43,0.310467632139102,0.0577469795778729,9717.979,157.302266428255,29.2582215556555,0.095,0.0254760408772556,0.00473854360316954,0.28,0.165149671158656,0.03071783883551,0.003,0.0138898989531707,0.00258352120528975
100,1000,0.2,0.5,0.1,-0.322,0.348046005318524,0.0647365569892454,0.386,0.274491766173358,0.0510554685082447,9704.875,139.170615393567,25.8857344632034,0.095,0.0196885259580645,0.0036620658282,0.302,0.154868286666823,0.028805501320029,0.002,0.0114160169843506,0.00212337915908922
100,1000,0.2,0.6,0.12,-0.359,0.391488836354115,0.0728169235618654,0.423,0.320573131163924,0.0596266023964899,9715.348,165.395683104761,30.7635970574856,0.096,0.0235703497773112,0.00438408505857989,0.31,0.136536300124754,0.0253957518232042,0.008,0.0238272124188344,0.0044318615099032
100,1000,0.2,0.7,0.07,-0.31,0.344409864328048,0.064060234765017,0.368,0.280117668457058,0.0521018863330128,9694.197,139.742387648142,25.9920841025544,0.094,0.0232416379772068,0.00432294466376047,0.291,0.15191794607369,0.0282567379697063,0.005,0.0194624736040381,0.00362002009035108
100,1000,0.2,0.8,0.07,-0.286,0.372425673691063,0.0692711753065378,0.368,0.290233045337812,0.0539833464328331,9691.929,152.470459088016,28.3595053903709,0.091,0.0228474325758394,0.00424962245910613,0.338,0.152933795554433,0.0284456859731245,0.008,0.0230014882649318,0.00427827681727732
100,1000,0.2,0.9,0.07,-0.328,0.37604451958122,0.069944280642107,0.388,0.313043252408973,0.058226044948069,9694.685,154.903560742392,28.8120622980849,0.093,0.0213588429755217,0.00397274479344705,0.309,0.160517744784841,0.0298563005299804,0.008,0.0236660286684434,0.00440188133233047
100,1000,0.2,1,0.1,-0.303,0.42323108034942,0.0787209809449922,0.413,0.316325790854296,0.0588365970988991,9681.637,185.26228005106,34.4587840894971,0.094,0.0215045502437688,0.00399984634534099,0.318,0.134427978034465,0.0250036039144105,0.016,0.0316094046564591,0.00587934926610139
100,1000,0.3,0,0.13,-0.468,0.344477798906394,0.0640728705965893,0.514,0.271192033046472,0.0504417181466438,9751.187,156.819217835579,29.1683745174176,0.09,0.021042486918365,0.00391390256681589,0.415,0.197270151259281,0.0366922481342263,0.005,0.0149971939013879,0.00278947806565814
