"","case_nb","popinit","K","MT","nb_stkh","at","bb","extinct","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"75",15,9267,10063,6535,37,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,5
"76",16,4369,1373,1295,36,0,0.5,1,15,9,12,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"77",16,4369,1373,1295,36,0.0602316602316602,0.5,1,15,15,6,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"78",16,4369,1373,1295,36,0.1,0.5,1,16,16,6,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"79",16,4369,1373,1295,36,0.7,0.5,1,14,14,14,14,14,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",16,4369,1373,1295,36,1,0.5,1,20,20,20,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",17,7959,9487,7339,41,0,0.5,0,18,52,9,20,52,19,25,43,34,43,30,21,58,9,21,62,33,33,9,45
"82",17,7959,9487,7339,41,0.1,0.5,0,16,33,62,62,6,9,9,29,29,29,32,26,43,52,38,38,38,4,4,31
"83",17,7959,9487,7339,41,0.292682926829268,0.5,0,13,71,71,6,6,6,6,6,71,71,71,4,9,9,9,9,9,9,9,9
"84",17,7959,9487,7339,41,0.7,0.5,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,7,7,7,7,7,7
"85",17,7959,9487,7339,41,1,0.5,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"86",18,5886,4450,3049,18,0,0.5,0,17,100,13,41,25,50,11,31,83,17,29,9,45,35,30,19,58,9,45,20
"87",18,5886,4450,3049,18,0.1,0.5,0,17,100,35,35,45,27,25,27,71,43,43,19,27,76,76,6,6,6,6,40
"88",18,5886,4450,3049,18,0.459494916366022,0.5,1,17,100,100,100,4,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"89",18,5886,4450,3049,18,0.7,0.5,1,15,100,100,100,4,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"90",18,5886,4450,3049,18,1,0.5,1,18,18,18,18,18,18,100,100,100,100,3,0,0,0,0,0,0,0,0,0
"91",19,1047,3223,2065,19,0,0.5,1,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0
"92",19,1047,3223,2065,19,0.1,0.5,1,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0
"93",19,1047,3223,2065,19,0.560774818401937,0.5,1,15,15,6,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
"94",19,1047,3223,2065,19,0.7,0.5,0,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,9
"95",19,1047,3223,2065,19,1,0.5,1,22,22,22,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",20,2117,4127,3212,41,0,0.5,1,17,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
"97",20,2117,4127,3212,41,0.1,0.5,1,18,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"98",20,2117,4127,3212,41,0.284869240348692,0.5,1,16,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0
"99",20,2117,4127,3212,41,0.7,0.5,1,15,15,15,15,3,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"100",20,2117,4127,3212,41,1,0.5,1,15,15,15,15,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
