"Fitness_calls","Mean_Fitness","LCI","UCI"
679,9883315.69268992,9849308.53130758,9910483.66917405
681,9883842.61423748,9852918.69108999,9911289.40609688
683,9884234.80244367,9854490.90161013,9914399.57461422
685,9884376.85640765,9852565.64931804,9912383.31676184
687,9884429.16176917,9851156.24112988,9913070.03949136
689,9884832.46625355,9852095.0100486,9913755.1141588
691,9884632.78398094,9857353.61700255,9910845.97128158
693,9885283.30714978,9853752.75495619,9911961.16736832
695,9885214.8135876,9853817.37483049,9914350.7628468
697,9884579.86001099,9854877.65931234,9909468.29014157
699,9884009.7791304,9850331.82058115,9910712.73985372
701,9883853.03961828,9851593.07213025,9911977.54504148
703,9883994.61084504,9849661.39465929,9912052.82567484
705,9883686.07169284,9849856.68678048,9912439.20924753
707,9884074.93443847,9851765.57089163,9913459.93900933
709,9885584.27311643,9855509.31173233,9915064.83706539
711,9885344.16508869,9856022.89971673,9912558.09940847
713,9884512.61437403,9849601.43021632,9909928.21938419
715,9883779.693241,9851122.65583517,9911531.52759331
717,9885071.03568936,9851927.44739377,9914489.80309221
719,9884043.40754261,9852158.01859456,9911399.79132547
721,9885180.37541765,9852863.79664767,9912711.18953893
723,9881886.85153756,9848714.2128836,9910344.33154486
725,9883879.45934002,9850122.5592514,9910847.4417607
727,9885050.86915498,9853113.1099231,9914681.28927383
729,9882661.34524113,9848208.70273759,9910852.57403995
731,9884778.61223867,9853762.36748264,9913737.2425996
733,9884150.65004028,9852598.71494513,9914314.10629036
735,9885674.50811151,9855719.80105169,9914163.62485509
737,9884772.65120753,9854670.96978932,9911951.25616504
739,9883565.047355,9848644.18222198,9914810.80471842
741,9884573.66611271,9852726.84657822,9914124.87954016
743,9884468.15018907,9854667.66292604,9911810.00963764
745,9884571.68533085,9850621.19300937,9914720.00656696
747,9884293.03865831,9850246.20107965,9913440.44126098
749,9884827.60647522,9853848.56127773,9911432.72778282
751,9884581.70703459,9855238.84816261,9915575.51304499
753,9884350.37581148,9852579.54012672,9912434.92706146
755,9884824.20141285,9855105.21646244,9913836.51755675
757,9884676.43378167,9854436.56356953,9912376.77198734
759,9884896.81036747,9853005.34525358,9911672.85761673
761,9883541.52766694,9851329.81791732,9911354.90112884
763,9884633.56678468,9852468.3990201,9912945.50719951
765,9884073.68519845,9847699.56502175,9912019.08562629
767,9883173.25430108,9848804.65732518,9910864.94099457
769,9884216.84372683,9852582.55482463,9914224.94490213
771,9884366.2347911,9851015.03201711,9912933.64535858
773,9883926.31556259,9850272.21647339,9912451.33795212
775,9884652.6775992,9853499.81937966,9912595.84635511
777,9883091.76799664,9850008.08903192,9911280.27975771
779,9884638.97116329,9853679.72998945,9913611.93379515
781,9882810.71256099,9850841.54517425,9913855.85255078
783,9885268.40519777,9854012.12465484,9912069.28317464
785,9884715.77707563,9854317.95381375,9911374.71922765
787,9884407.48662989,9852271.76103886,9913128.36301815
789,9884743.12967628,9850220.37927454,9911719.66475343
791,9884314.49761021,9852196.09838616,9914050.17464362
793,9882271.70129308,9846462.29947836,9911463.0548449
795,9884036.51246467,9854185.58851272,9913070.82954777
797,9884268.03334448,9851820.0633542,9911852.12579992
799,9884372.39974983,9852376.0352972,9913906.28771476
801,9883328.26940727,9847162.56268468,9914774.31899458
803,9884009.92236388,9849296.80547716,9913320.90890341
