"V1","V2","V3","V4"
40,10.8218116760254,484000,801.1
40,10.7221143245697,488000,792.5
40,10.7607207298279,504000,815.2
40,10.9165408611298,528000,799.9
40,10.7433667182922,5e+05,808.4
40,10.6535425186157,508000,821.1
40,10.8161985874176,528000,824.6
40,10.6199741363525,520000,833
40,10.6306364536285,520000,840.1
40,10.6766967773438,524000,831.3
40,10.659264087677,552000,842
40,10.6712424755096,548000,837.6
40,10.704815864563,6e+05,838.7
40,10.673609495163,536000,846.4
40,10.7024042606354,648000,848.6
40,10.8285341262817,580000,851.5
40,10.815949678421,564000,861.7
40,10.8036744594574,572000,862.8
40,10.8635578155518,572000,871.6
40,10.8178901672363,560000,864.1
40,10.8695256710052,612000,864.9
40,10.8536167144775,588000,872.3
40,10.771721124649,580000,874.2
40,10.832279920578,604000,867.2
40,10.8997807502747,584000,886.1
40,10.8895678520203,704000,891.1
40,10.9050452709198,664000,899
40,10.9698917865753,6e+05,884
40,10.9835255146027,648000,886.7
40,10.9159257411957,604000,898.7
40,10.9410037994385,636000,900.6
40,10.9812934398651,656000,926.2
40,10.9829983711243,620000,915.6
40,11.0085711479187,660000,905.2
40,10.997230052948,640000,928.1
40,11.0123174190521,640000,915.5
40,10.972633600235,640000,928.4
40,10.988263130188,644000,931.9
40,11.0136823654175,684000,926.9
40,11.0762186050415,652000,921.4
40,10.998518705368,664000,927.5
40,11.046471118927,648000,940.3
40,11.1478891372681,680000,951.3
40,11.082827091217,672000,935.9
40,11.0511267185211,660000,949.2
40,11.1017549037933,672000,956.3
40,11.1162216663361,696000,948.9
40,11.1072311401367,684000,957.6
40,11.1758935451508,692000,959.5
40,11.1326012611389,692000,962.4
40,11.2369167804718,684000,973.1
40,11.247891664505,748000,973.6
40,11.1878962516785,692000,972.4
40,11.1916742324829,756000,972.3
40,11.2602124214172,724000,973
40,11.3500945568085,716000,981.2
40,11.2845928668976,752000,985.2
40,11.2745430469513,712000,983.5
40,11.1717524528503,716000,986
40,11.1844146251678,732000,982.1
40,11.2316317558289,748000,992.3
40,11.1967525482178,728000,992.7
40,11.1930248737335,732000,987.6
40,11.2538769245148,736000,995.9
40,11.2122557163239,740000,997.3
40,11.2172472476959,748000,999.4
40,11.2667124271393,748000,1000
40,11.2720446586609,784000,998.5
40,11.2504043579102,756000,998.4
40,11.6232945919037,760000,996
40,11.3986587524414,764000,997.7
40,11.4282829761505,768000,1000
40,11.4375393390656,772000,1000
40,11.4066665172577,780000,1000
40,11.4383730888367,780000,1000
40,11.5588438510895,784000,1000
40,11.4741525650024,788000,999.8
40,11.498348236084,792000,1000
40,11.4865934848785,796000,1000
