"Fitness_calls","Mean_Fitness","LCI","UCI"
529,3739.45,3276,4224.35
531,3739.45,3245.45,4225
533,3739.45,3242.85,4242.55
535,3739.45,3250,4206.8
537,3739.45,3235.7,4239.95
539,3739.45,3271.45,4244.5
541,3739.45,3287.7,4214.6
543,3739.45,3269.5,4217.2
545,3739.45,3240.25,4241.9
547,3739.45,3284.45,4216.55
549,3739.45,3272.1,4190.55
551,3739.45,3276.65,4243.85
553,3739.45,3260.4,4204.2
555,3739.45,3257.15,4248.4
557,3739.45,3266.25,4233.45
559,3739.45,3244.8,4258.8
561,3739.45,3285.1,4225
563,3739.45,3292.9,4228.9
565,3739.45,3278.6,4204.85
567,3739.45,3275.35,4241.9
569,3739.45,3261.05,4207.45
571,3739.45,3292.9,4255.55
573,3739.45,3283.15,4205.5
575,3739.45,3279.25,4217.85
577,3739.45,3238.95,4232.15
579,3739.45,3224.65,4246.45
581,3739.45,3246.1,4219.15
583,3739.45,3235.05,4226.95
585,3739.45,3266.9,4191.2
587,3739.45,3228.55,4223.05
589,3739.45,3259.75,4217.85
591,3739.45,3281.2,4236.05
593,3739.45,3268.2,4246.45
595,3739.45,3263.65,4217.2
597,3739.45,3280.55,4204.85
599,3739.45,3256.5,4212.65
601,3739.45,3257.8,4214.6
603,3739.45,3244.15,4229.55
605,3739.45,3271.45,4217.85
607,3739.45,3278.6,4239.3
609,3739.45,3272.1,4225.65
611,3739.45,3239.6,4245.15
613,3739.45,3284.45,4222.4
615,3739.45,3230.5,4218.5
617,3739.45,3262.35,4233.45
619,3739.45,3253.25,4220.45
621,3739.45,3259.1,4203.55
623,3739.45,3255.85,4193.15
625,3739.45,3272.75,4240.6
627,3739.45,3239.6,4230.2
629,3739.45,3263,4241.25
631,3739.45,3279.25,4243.2
633,3739.45,3264.3,4195.1
635,3739.45,3239.6,4206.15
637,3739.45,3235.05,4224.35
639,3739.45,3235.05,4231.5
641,3739.45,3280.55,4251.65
643,3739.45,3234.4,4281.55
645,3739.45,3249.35,4249.7
