"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"138",38,1000,0.1,0,1,-0.9555,0.9555,39737,0.0127627627627628,0,0.111111111111111
"139",39,1000,0.1,0,0,0.394,0.394,34592.03125,0.0660153524075366,0.1,0.25
"140",40,1000,0.1,0,0,0.339,0.339,34791.75,0.0815972222222222,0.1,0.3
"141",41,1000,0.1,0,0,0.281,0.281,34490.1875,0.0788307010252147,0.1,0.3
"142",42,1000,0.1,0,1,-0.948,0.948,39886.5,0.006,0.0625,0.1875
"143",43,1000,0.1,0,1,-0.989,0.989,39988,0.0025,0.0833333333333334,0.166666666666667
"144",44,1000,0.1,0,0,-0.23,0.23,40000,0,0.15,0.2
"145",45,1000,0.1,0,0,-0.21,0.21,39970,0.0025,0.05,0.25
"146",46,1000,0.1,0,0,-0.4425,0.4425,39910.25,0.0055,0,0.25
"147",47,1000,0.1,0,0,-0.469,0.469,33514.0625,0.0803045539433989,0.1,0.3
"148",48,1000,0.1,0,0,-0.275,0.275,31944.65625,0.0896250831915995,0.05,0.25
"149",49,1000,0.1,0,0,0.229,0.229,33675.15625,0.100371481640234,0,0.25
"150",50,1000,0.1,0,0,-0.376,0.376,35267.40625,0.0744944283945522,0.1,0.35
"151",51,1000,0.1,0,0,-0.165,0.165,34952.1875,0.0771028037383178,0.05,0.3
"152",52,1000,0.1,0,0,-0.3925,0.3925,32612.15625,0.091283134284882,0.1,0.4
"153",53,1000,0.1,0,0,-0.27,0.27,31854.125,0.0825065274151436,0.15,0.25
"154",54,1000,0.1,0,0,0.0535000000000001,0.0535000000000001,39994,0.001,0.2,0.5
"155",55,1000,0.1,0,1,0.0325,0.0325,39109.5,0.0323722812341932,0.2,0.4
"156",56,1000,0.1,0,0,-0.4875,0.4875,37772,0.0369262774671694,0.05,0.1
"157",57,1000,0.1,0,0,-0.2365,0.2365,31031.046875,0.102116483856017,0.05,0.3
"158",58,1000,0.1,0,0,-0.152,0.152,39820.5,0.00725725725725726,0.1,0.3
"159",59,1000,0.1,0,0,-0.146,0.146,34652.8125,0.068118948824343,0.15,0.35
"160",60,1000,0.1,0,1,-0.0305,0.0305,39640.5,0.0140562248995984,0.222222222222222,0.333333333333333
"161",61,1000,0.1,0,0,-1,1,39718.25,0.0150225338007011,0.15,0.3
"162",62,1000,0.1,0,0,-0.368,0.368,35300.75,0.0704866775421425,0.05,0.35
"163",63,1000,0.1,0,1,-0.9485,0.9485,39558,0.0210631895687061,0,0.2
"164",64,1000,0.1,0,0,0.1545,0.1545,35215.5625,0.0558382615871269,0.25,0.45
"165",65,1000,0.1,0,0,-0.411,0.411,35182.78125,0.0625942684766214,0,0.25
"166",66,1000,0.1,0,0,-1,1,39552.5,0.0130850528434826,0.25,0.35
"167",67,1000,0.1,0,1,-0.0675,0.0675,39874,0.0080040020010005,0.181818181818182,0.363636363636364
"168",68,1000,0.1,0,0,0.6755,0.6755,33687.5625,0.0849063349063349,0.05,0.35
"169",69,1000,0.1,0,0,-0.425,0.425,35285.4375,0.0589450488913373,0.1,0.4
"170",70,1000,0.1,0,0,0.643,0.643,34992.125,0.0934898321277467,0.05,0.3
"171",71,1000,0.1,0,0,0.1765,0.1765,35152.625,0.0834589557352337,0.1,0.25
"172",72,1000,0.1,0,0,-0.6385,0.6385,35507.9375,0.0798848999725952,0.2,0.4
"173",73,1000,0.1,0,1,-0.0655,0.0655,39719.25,0.00878293601003764,0.166666666666667,0.333333333333333
"174",74,1000,0.1,0,0,-0.0795,0.0795,30480.5859375,0.116157196748726,0.3,0.45
"175",75,1000,0.1,0,0,-0.4795,0.4795,37819.375,0.0351470971101276,0,0.3
"176",76,1000,0.1,0,0,-0.224,0.224,30906.53125,0.128421532846715,0.15,0.4
"177",77,1000,0.1,0,0,-0.3605,0.3605,32444.875,0.108206775700935,0.05,0.3
"178",78,1000,0.1,0,1,-0.0335,0.0335,39664.75,0.0117971887550201,0.176470588235294,0.352941176470588
"179",79,1000,0.1,0,0,-0.2195,0.2195,30776.828125,0.0880615575936577,0.1,0.25
"180",80,1000,0.1,0,0,0.3995,0.3995,34316.3125,0.0702676194479473,0.3,0.5
"181",81,1000,0.1,0,0,0.4255,0.4255,32619.0625,0.0661611656259292,0.1,0.3
"182",82,1000,0.1,0,0,-0.1995,0.1995,31064.671875,0.0920932358318099,0.05,0.35
"183",83,1000,0.1,0,0,0.0725,0.0725,33720.015625,0.0766438941076003,0.1,0.3
"184",84,1000,0.1,0,1,-0.8045,0.8045,39523.25,0.0138329979879276,0.153846153846154,0.384615384615385
"185",85,1000,0.1,0,0,0.154,0.154,39904,0.0045,0.15,0.45
"186",86,1000,0.1,0,0,0.181,0.181,35752.28125,0.0435729847494553,0.05,0.35
"187",87,1000,0.1,0,0,0.764,0.764,33761.25,0.0854712969525159,0.1,0.4
