"rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","overK_tot","overK_sd","overK_95ci_inf","overK_95ci_sup"
75,1000,0.1,0.9,0.25,0.137624507448728,0.16,0.33,-0.0953133333333333,0.146157709348048,-0.175293333333333,-0.0177866666666667,0.296473333333333,0.0814477644342307,0.25482,0.343406666666667,35096.2833333333,1144.38778869176,34510.9136458333,35727.5554166667,0.0626744662032368,0.0139019123961363,0.055454299450797,0.069716515377868,0.0886666666666667,0.02593824960927,0.0753333333333333,0.102666666666667,0.302666666666667,0.029004594334217,0.286666666666667,0.318
76,1000,0.1,1,0.24,0.137411495850672,0.16,0.33,-0.105348684210526,0.164482214647353,-0.193809210526316,-0.0156842105263158,0.331401315789474,0.0938568915648085,0.282934210526316,0.383756578947368,35475.2008634868,1221.0696172622,34769.4192023026,36089.7421875,0.0555758005229618,0.0140641548982028,0.0479534821027297,0.0629865926915237,0.113157894736842,0.023206217525826,0.100657894736842,0.125657894736842,0.316447368421053,0.0244337894039233,0.303289473684211,0.329605263157895
23,1000,0.2,0,0.77,0.134853571916304,0.68,0.85,-0.102021739130435,0.717421913612756,-0.31304347826087,0.103630434782609,0.411108695652174,0.439584810719261,0.289304347826087,0.541717391304348,36339.0910326087,4433.0612256931,35112.6311141304,37693.5944293478,0.0454469486753033,0.0542481213942741,0.0295304829748842,0.0607178173235824,0.18695652173913,0.0769530380399943,0.165217391304348,0.208695652173913,0.295652173913043,0.0928057016799431,0.267391304347826,0.323913043478261
29,1000,0.2,0.1,0.71,0.143048762612084,0.62,0.79,-0.0416551724137931,0.473816505393249,-0.194448275862069,0.114689655172414,0.361379310344828,0.254801188597539,0.284603448275862,0.449775862068966,34702.3251616379,3761.67772791484,33567.7303340517,36013.8033405172,0.0631913525680818,0.0462813992803616,0.048190201103633,0.0782754999419661,0.191379310344828,0.0529544804541586,0.174137931034483,0.208620689655172,0.318965517241379,0.0698131644475822,0.294827586206897,0.341379310344828
20,1000,0.2,0.2,0.8,0.128890196788906,0.72,0.87,-0.129575,0.866568995051598,-0.36185,0.102,0.461875,0.467936399252359,0.343925,0.591375,34913.6125,4893.62579345107,33485.40234375,36230.37265625,0.0652297466570304,0.0563928802226301,0.0493924584881085,0.0801214791390477,0.195,0.0496529534818795,0.18,0.2075,0.3,0.0861351141796239,0.2775,0.3225
16,1000,0.2,0.3,0.84,0.115495240183527,0.76,0.91,-0.03053125,0.673669422403678,-0.1858125,0.13090625,0.29371875,0.330145561006177,0.21715625,0.3759375,34790.8959960938,5045.83946629887,33625.033203125,36011.9096679688,0.0644001407880516,0.0603221998439812,0.0494027830386053,0.0786510609323338,0.2,0.0797987336404846,0.18125,0.21875,0.3125,0.147250210013291,0.278125,0.35
35,1000,0.2,0.4,0.65,0.152788214152265,0.56,0.74,-0.212885714285714,0.413048581880385,-0.362557142857143,-0.0645142857142857,0.400628571428571,0.256847834638035,0.317057142857143,0.4995,35189.8017857143,3062.50241724775,34161.9464285714,36342.3433035714,0.0581945173271676,0.0328365329287136,0.0464623982837642,0.0697583291993365,0.198571428571429,0.0466164035038124,0.18,0.214285714285714,0.304285714285714,0.0713619857711743,0.277142857142857,0.328571428571429
26,1000,0.2,0.5,0.74,0.136702282868335,0.65,0.82,-0.0576923076923077,0.671953390791679,-0.256115384615385,0.164576923076923,0.431923076923077,0.431994197395489,0.303288461538462,0.572307692307692,34706.4966947115,4190.27125393009,33432.1778846154,36026.9621394231,0.0628659848478704,0.0434208906625532,0.0495774408073005,0.0757708259496027,0.198076923076923,0.0558912246607895,0.180769230769231,0.215384615384615,0.303846153846154,0.0942877057187423,0.275,0.334615384615385
18,1000,0.2,0.6,0.82,0.121661477680962,0.74,0.89,0.02875,0.693115477020816,-0.15675,0.199444444444444,0.30325,0.433965899012543,0.207888888888889,0.417555555555556,34224.3723958333,4740.15135180786,33016.0572916667,35470.7586805556,0.0737837675746315,0.0518031232031778,0.0607069578751627,0.0863990177889263,0.188888888888889,0.090864760908027,0.166666666666667,0.211111111111111,0.288888888888889,0.141573344887273,0.255555555555556,0.322222222222222
20,1000,0.2,0.7,0.8,0.12136292929087,0.73,0.87,-0.22865,0.848437535567509,-0.4712,-0.013025,0.49515,0.443573971956282,0.3835,0.620375,35038.56796875,5642.99429064176,33426.1328125,36641.64296875,0.0590604917391087,0.0633371285353707,0.0409939748878965,0.0764094340732597,0.19,0.080412382851085,0.1675,0.21,0.2825,0.0757997621854344,0.2625,0.3025
19,1000,0.2,0.8,0.81,0.120664825031987,0.73,0.88,-0.157052631578947,0.781798431113361,-0.357763157894737,0.0466842105263158,0.383210526315789,0.538875133584937,0.244315789473684,0.527368421052632,35787.6648848684,6503.72115584982,34107.5678453947,37475.4769736842,0.0483183457236916,0.063888810073187,0.0316170421412638,0.0649124790907669,0.194736842105263,0.0824169746476091,0.173684210526316,0.215789473684211,0.297368421052632,0.0862463706017948,0.273684210526316,0.318421052631579
22,1000,0.2,0.9,0.78,0.135893541220525,0.7,0.86,-0.184409090909091,0.622527725843512,-0.368681818181818,-0.0103181818181818,0.3725,0.416051961876497,0.259840909090909,0.495545454545455,35566.9985795455,4740.96852478272,34204.6463068182,36931.2897727273,0.0556718679933563,0.0563038712285888,0.0399464074108907,0.0715669034300956,0.188636363636364,0.0571992223116525,0.172727272727273,0.202272727272727,0.306818181818182,0.0918285737872138,0.281818181818182,0.334090909090909
25,1000,0.2,1,0.75,0.140327808859805,0.66,0.83,0.05392,0.654865759910011,-0.15382,0.2453,0.4364,0.370377436501177,0.32862,0.54818,35129.158125,3985.27341983036,33960.333125,36318.5625,0.0606950332657001,0.0455745390089844,0.0473861741490925,0.0755489612088216,0.2,0.0531038667769746,0.184,0.216,0.31,0.0683972465332731,0.288,0.332
2,1000,0.3,0.6,0.98,0.0443388126028461,0.95,1,-0.4745,11.5933327532574,-1,0.0509999999999999,0.5255,10.8891185368583,0.0509999999999999,1,34539.41015625,119091.943990215,29305.8203125,39773,0.0802836428509654,1.46775838895371,0.0130065032516258,0.147560782450305,0.225,1.6376658312977,0.15,0.3,0.275,1.69994411672855,0.2,0.35
1,1000,0.3,0.7,0.99,0.0311762017499816,0.97,1,-1,0,-1,-1,1,0,1,1,38166.125,0,38166.125,38166.125,0.0336166924265842,0,0.0336166924265842,0.0336166924265842,0.3,0,0.3,0.3,0.3,0,0.3,0.3
2,1000,0.3,0.9,0.98,0.0423601561409166,0.95,1,-0.8705,2.84730422259371,-1,-0.741,0.8705,2.87809489141689,0.741,1,38697.1875,27113.3206646082,37502.375,39892,0.0295197417549355,0.502057132779687,0.00650325162581291,0.052536231884058,0.15,0,0.15,0.15,0.275,0.552211463118976,0.25,0.3
1,1000,0.5,0.3,1,0,1,1,-1,0,-1,-1,1,0,1,1,40000,0,40000,40000,0,0,0,0,0.7,0,0.7,0.7,0.8,0,0.8,0.8
