"rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","overK_tot","overK_sd","overK_95ci_inf","overK_95ci_sup"
100,1000,0.1,0.9,0.25,0.134876464240655,0.17,0.34,-0.203565,0.132640653357434,-0.28668,-0.121685,0.356315,0.0962867342475147,0.297795,0.414,36263.6525,984.633967868196,35651.860703125,36862.70546875,0.0491934818640342,0.0118537362093967,0.0420467195625365,0.0564384339168563,0.0998340107175246,0.0293160915272298,0.0818484848484849,0.118115608205004,0.287035006187483,0.0281874113728644,0.26953999023852,0.304147499430394
100,1000,0.1,1,0.24,0.136999856226423,0.16,0.33,-0.18135,0.137951578902002,-0.264915,-0.09718,0.35552,0.0973184456895716,0.29414,0.41078,36483.37140625,1002.11093133903,35865.96546875,37093.06078125,0.0448787553912248,0.0110807323938482,0.0379717545455025,0.0516347530653226,0.120113973144159,0.0229744525570151,0.1063626326374,0.133727026757212,0.293692076757092,0.0290393491042069,0.274269521242431,0.310044620412267
100,1000,0.2,0,0.77,0.139175044204387,0.68,0.85,-0.25584,0.128778656057467,-0.338225,-0.178655,0.33319,0.108135132008467,0.26927,0.400875,38987.6078125,682.351281457905,38537.699375,39361.16046875,0.0167839071282962,0.00779144559941412,0.0121510475901904,0.0216557024549842,0.20102949553027,0.0286004110902224,0.182468917992912,0.218656204863248,0.295994444324166,0.0335928320416833,0.274817608990597,0.315521197026228
100,1000,0.2,0.1,0.71,0.144099348444822,0.61,0.79,-0.317875,0.141372504929817,-0.403785,-0.23081,0.413925,0.111259519885788,0.348445,0.48625,38294.778046875,949.544732373863,37661.36171875,38842.671796875,0.0240800904629708,0.0105465275203371,0.0176630386971369,0.0303535582189191,0.167474044874974,0.029467284737521,0.149108922896849,0.184928656654663,0.276655008476216,0.0324356621617902,0.257491795012693,0.296185071206743
100,1000,0.2,0.2,0.8,0.125294820001435,0.72,0.87,-0.304695,0.143240695116403,-0.390515,-0.213445,0.380325,0.110253268375801,0.311395,0.446585,38751.570625,766.958095868767,38267.29859375,39176.54,0.0205375564856564,0.00907272808394973,0.0155674669107743,0.0261848721469672,0.197221312098634,0.0328350156604086,0.176314766932414,0.21596819674993,0.282726630481661,0.0322848606975589,0.261208027009111,0.300849849110298
100,1000,0.2,0.3,0.84,0.115949902104227,0.77,0.91,-0.241975,0.110354590267314,-0.313075,-0.17867,0.297815,0.09954201609807,0.23424,0.357085,38861.314609375,636.204176427877,38432.3165625,39229.72875,0.0188696899159926,0.00765929569432463,0.0144880435147858,0.024006141463093,0.206840804620216,0.0306996985816821,0.187977371484724,0.224953374240139,0.307419740390329,0.0335028334956629,0.287018554974437,0.327821170659406
100,1000,0.2,0.4,0.65,0.15238849541666,0.55,0.74,-0.234595,0.115179189840119,-0.305885,-0.16512,0.306785,0.0947209788582159,0.247585,0.36526,38139.743125,928.275961607235,37579.2846875,38727.400625,0.0264935773294918,0.0101400722932633,0.0205791072953562,0.0334122743905199,0.206875295112524,0.0291942362750399,0.187913557031204,0.225258369640336,0.301286653319161,0.0277808764544762,0.284709273741394,0.318241898452425
100,1000,0.2,0.5,0.74,0.137480577140588,0.66,0.82,-0.227965,0.130275513224159,-0.30904,-0.14704,0.329035,0.109826140226957,0.265445,0.3992,38466.897890625,889.642876062837,37872.3784375,38997.708125,0.0217530243338328,0.00963537423555553,0.0156691847403607,0.027739690589339,0.197010103931157,0.0261298996609707,0.181158001183543,0.21309357352314,0.279468439670065,0.0337471634022467,0.259583054630268,0.299087082336308
100,1000,0.2,0.6,0.82,0.120579928644527,0.74,0.89,-0.144715,0.0994389467699397,-0.209945,-0.08875,0.215775,0.0838961367504638,0.16835,0.27009,38687.21015625,761.567879346738,38166.44125,39114.950625,0.021707895028528,0.00901641513154226,0.0160369386808014,0.0275887193506233,0.217754583565729,0.0262614062083424,0.200916512323246,0.234483498183963,0.310768208614571,0.0297888322830457,0.291230891614406,0.328206803774141
100,1000,0.2,0.7,0.8,0.122843400352241,0.72,0.87,-0.2917,0.123747590418528,-0.376795,-0.21795,0.35048,0.105402732197754,0.28634,0.41735,38793.01984375,782.520806367502,38281.77859375,39266.60671875,0.0194654078670356,0.00888300822001685,0.0143611188961514,0.0255522282822647,0.193722691524162,0.0306813993036875,0.17456629318394,0.212001753964989,0.296478670838965,0.0336217120870636,0.275542979079744,0.317655321802381
