"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
5,1,1000,0.2,0.3,0,1,-0.624,0.624,39952,0.0035,0,3513,3
6,1,1000,0.2,0.3,0,1,-0.9895,0.9895,40000,0,0,5443,4
7,1,1000,0.2,0.3,0,1,-0.624,0.624,40000,0,0,3513,3
8,1,1000,0.2,0.3,0,1,-0.619,0.619,39188,0.0179746835443038,0,3492,3
9,1,1000,0.2,0.3,0,1,-0.604,0.604,39328,0.0163975782038345,0,3433,3
10,1,1000,0.2,0.3,0,1,-0.9875,0.9875,40000,0,0,5395,4
1,1,1000,0.3,0.3,0,1,-0.616,0.616,38985.75,0.0236040609137056,0,3483,3
2,1,1000,0.3,0.3,0,1,-0.6145,0.6145,39868.5,0.00650650650650651,0,3481,3
3,1,1000,0.3,0.3,0,1,-0.9535,0.9535,40000,0,0,6017,5
4,1,1000,0.3,0.3,0,1,-0.608,0.608,38400.875,0.0269576379974326,0,3459,3
5,1,1000,0.3,0.3,0,1,-0.978,0.978,39862.25,0.00750375187593797,0,5381,4
6,1,1000,0.3,0.3,0,1,-0.6175,0.6175,39934.25,0.006,0,3498,3
7,1,1000,0.3,0.3,0,1,-0.875,0.875,38805.625,0.0276011193080641,0,4801,4
8,1,1000,0.3,0.3,0,1,-0.912,0.912,39571.5,0.0128076343545957,0,5077,4
9,1,1000,0.3,0.3,0,1,-0.846,0.846,38441.5,0.0234354880247232,0,4687,4
10,1,1000,0.3,0.3,0,1,-0.925,0.925,39731,0.0122684026039059,0,5472,5
1,1,1000,0.4,0.3,0,1,-0.9425,0.9425,40000,0,0,6802,5
2,1,1000,0.4,0.3,0,1,-0.899,0.899,39928.75,0.00475,0,6330,5
3,1,1000,0.4,0.3,0,1,-0.9615,0.9615,39264,0.0184436584133401,0,5293,4
4,1,1000,0.4,0.3,0,1,-0.9865,0.9865,39376,0.0163769211388259,0,5373,4
5,1,1000,0.4,0.3,0,1,-0.908,0.908,39660,0.0137672090112641,0,6087,6
6,1,1000,0.4,0.3,0,1,-0.6195,0.6195,38437.375,0.0297283444387494,0,3507,3
7,1,1000,0.4,0.3,0,1,-0.9885,0.9885,40000,0,0,7278,7
8,1,1000,0.4,0.3,0,1,-0.9605,0.9605,39341,0.0168935955622794,0,5347,4
9,1,1000,0.4,0.3,0,1,-0.6155,0.6155,37769.125,0.0390685640362225,0,3487,3
10,1,1000,0.4,0.3,0,1,-0.9125,0.9125,39784.25,0.00900900900900901,0,6213,6
