"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumSqDev","SumSqDev_sd","SumSqDev_95ci_inf","SumSqDev_95ci_sup"
"22",87,1000,0.2,0.9,0.13,0.10276468658095,0.07,0.2,-0.0922413793103448,0.117324145251003,-0.160522988505747,-0.0301896551724138,0.291873563218391,0.0593291747669411,0.258022988505747,0.326402298850575,35128.9599497126,1105.24938778329,34516.3180675287,35786.5890804598,0.0612779539238781,0.0127954835426017,0.0536521629168247,0.0688604122079276,0.106896551724138,0.0212017457156434,0.0948275862068965,0.118965517241379,8228043.59770115,589497.743116649,7899377.12643678,8561336.02298851
"23",82,1000,0.2,1,0.18,0.123154329558034,0.11,0.26,-0.0268048780487805,0.153134871360446,-0.110335365853659,0.0563841463414634,0.345463414634146,0.0792505855452318,0.304792682926829,0.390225609756098,34804.7887766768,1085.27379470614,34195.6241425305,35389.6629192073,0.0655920998831255,0.0124501152999879,0.0587179643988049,0.0721876899332512,0.0939024390243902,0.0222374427352099,0.0817073170731707,0.10609756097561,8682825.87804878,738459.390941053,8295890,9099862.45121951
"24",99,1000,0.3,0,0.01,0.0320160155629218,0,0.03,0.0489545454545455,0.108242997759184,-0.0129646464646465,0.119469696969697,0.275691919191919,0.0659196050130788,0.237292929292929,0.313444444444444,35454.1447285354,1003.71373889123,34795.7451073232,36053.490530303,0.0607615892954507,0.0111339908283923,0.0537722171257309,0.0673525978061994,0.164646464646465,0.0204128449335353,0.152525252525253,0.177777777777778,9538088.5959596,501429.087125371,9221582.06060606,9848703.24242424
"25",100,1000,0.3,0.1,0,0,0,0,0.045045,0.112579121736374,-0.01897,0.118275,0.276595,0.0657441392577807,0.23689,0.31852,35041.478359375,996.221236154607,34393.3909375,35654.071796875,0.0639553954707283,0.0107605000867536,0.0572313596863697,0.0704764218681559,0.17,0.0220257920436818,0.1565,0.1835,9878910.31,583432.160880881,9482636.89,10213365.21
"26",97,1000,0.3,0.2,0.03,0.0547096652772385,0,0.07,0.0450103092783505,0.108738092530812,-0.025180412371134,0.108819587628866,0.268917525773196,0.0732585709469384,0.227453608247423,0.315963917525773,35148.2184278351,1088.15199728366,34516.9856636598,35829.3129832474,0.0617224527720669,0.0114588646986153,0.05455952822217,0.0683891218043889,0.172680412371134,0.0179637153819231,0.161855670103093,0.184020618556701,10103502,700727.273421761,9690067.82474227,10540874.1340206
"27",98,1000,0.3,0.3,0.02,0.0421445324586905,0,0.05,0.0254540816326531,0.0996578473787353,-0.0359591836734694,0.086030612244898,0.257474489795918,0.0582153014910877,0.223755102040816,0.293892857142857,35583.2260841837,1046.27696609154,34946.9990433673,36234.8751594388,0.0585286022703686,0.0121888062259498,0.0513832976045932,0.0663168919623531,0.163265306122449,0.0180243822518446,0.152040816326531,0.174489795918367,9709544.29591837,611480.866872116,9330845.82653061,10088262.7346939
"28",98,1000,0.3,0.4,0.02,0.0451027558565836,0,0.05,0.0230102040816326,0.113796473326864,-0.0405918367346939,0.0955255102040816,0.278642857142857,0.0641917559639633,0.239510204081633,0.317382653061224,35455.8090720663,1129.46702924817,34757.7752710459,36151.8361766582,0.0578571309695745,0.0116628469311409,0.0508261624872336,0.0651120803127372,0.160714285714286,0.0158868944689087,0.150510204081633,0.169897959183673,9927590.2755102,495855.802338152,9612411.58163265,10221535.0816327
"29",97,1000,0.3,0.5,0.03,0.0549846994328165,0,0.07,0.0486752577319588,0.117982302938825,-0.0247886597938144,0.117541237113402,0.28910824742268,0.0718492704392933,0.247113402061856,0.333350515463918,35716.4979059278,1107.9816065672,35073.6274162371,36386.0892396907,0.0592524278219079,0.0121185672790269,0.051760611904466,0.0663648318962194,0.152061855670103,0.0172210128410164,0.141237113402062,0.161855670103093,10274810,648392.7862599,9886088.75257732,10656493.4845361
"30",100,1000,0.3,0.6,0,0,0,0,-0.004585,0.117747824366012,-0.077155,0.069795,0.288565,0.0676331161372022,0.248645,0.32975,36167.400546875,1082.33355942142,35460.4215625,36858.239609375,0.0526667911170585,0.0135620394564651,0.0442981508552546,0.0603846522043536,0.1555,0.0174438724010305,0.145,0.1665,10064789.99,582729.084604196,9722038.89,10418523.58
"31",97,1000,0.3,0.7,0.03,0.0531516222658815,0,0.07,0.00959278350515464,0.126750413982665,-0.0655618556701031,0.0871237113402062,0.319458762886598,0.0649450097397033,0.281201030927835,0.359989690721649,35982.0852931701,1122.27514702866,35244.496939433,36657.7426707474,0.0512266930499046,0.0125836864349661,0.0430566738526385,0.0587839776522405,0.150515463917526,0.0188765403109932,0.139175257731959,0.161855670103093,10009361.4123711,680306.822657153,9612377.16494845,10434010.4329897
