"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"32",100,1000,0.3,0.8,0.02,0.0447446627932857,0,0.05,-0.0246,0.119532652621496,-0.098225,0.05158,0.2901,0.0753551418107898,0.24363,0.3385,0.893590333984375,0.0249446021040534,0.878009791015625,0.907714892578125,0.0560318883904854,0.0110364920260545,0.0489542922490308,0.0624737631629391,0.161722222222222,0.0166372686846189,0.152111111111111,0.1725,NA,NA,NA,NA
"33",100,1000,0.3,0.9,0.01,0.0312205416708651,0,0.03,0.009725,0.107524929957112,-0.055465,0.08129,0.278085,0.0612026436082823,0.239615,0.31447,0.900064670898438,0.0269421868428998,0.88241434765625,0.915553602539062,0.050595812084501,0.0111662763553446,0.0437292877661165,0.0575177324874891,0.15075,0.0165823457715692,0.1395,0.1605,NA,NA,NA,NA
"34",100,1000,0.3,1,0.01,0.0314624034091935,0,0.03,0.004025,0.11084710970526,-0.066795,0.0671,0.279885,0.0639403632383056,0.240005,0.31553,0.9073609375,0.0275672319036381,0.890108875,0.9242693984375,0.0488924366112805,0.0123654378581662,0.0410043841922553,0.0566886171365214,0.155714285714286,0.0120687468609484,0.148142857142857,0.1635,NA,NA,NA,NA
"35",100,1000,0.4,0,0.2,0.124764975012617,0.13,0.28,-0.169245,0.156714799920399,-0.26283,-0.069175,0.414845,0.104981394383856,0.347625,0.47849,0.906843400390625,0.0259875061532535,0.89116284765625,0.92271034765625,0.0494217536019023,0.0117482190569135,0.0422525469090872,0.0567984527002661,0.248144572747514,0.0257410694033468,0.23168235604265,0.263397463647464,NA,NA,NA,NA
"36",100,1000,0.4,0.1,0.15,0.112790142129604,0.08,0.22,-0.15607,0.149240279286406,-0.245845,-0.0642,0.3908,0.0944968782636482,0.33258,0.451185,0.885079767578125,0.0252327772184647,0.869941642578125,0.900587158203125,0.0587477975165481,0.010900987665917,0.0524757910030532,0.0658007897037389,0.235668945089998,0.024355776482077,0.219969810890864,0.250380724538619,NA,NA,NA,NA
"37",100,1000,0.4,0.2,0.05,0.0714402978830307,0.01,0.1,-0.07178,0.127124000374794,-0.147865,0.00201,0.3295,0.0809688787225055,0.28196,0.379795,0.871935927734375,0.026573716654099,0.855195623046875,0.887526126953125,0.0607620557830207,0.0118593641616612,0.0533892059979244,0.0677688840987191,0.249807192807193,0.0206861236565684,0.237751748251748,0.261846153846154,NA,NA,NA,NA
"38",100,1000,0.4,0.3,0.11,0.0967519164323546,0.06,0.17,-0.06995,0.168167394733682,-0.16721,0.0329,0.43298,0.10318555294598,0.3677,0.4977,0.89342394140625,0.0286932981597184,0.877617109375,0.9117177421875,0.0518806445084778,0.0121220269510994,0.0444246695648702,0.0591562951321645,0.248883089133089,0.0274777485510029,0.231859584859585,0.265111111111111,NA,NA,NA,NA
"39",100,1000,0.4,0.4,0.06,0.0763449838932236,0.02,0.11,-0.05347,0.137976482572943,-0.13781,0.03183,0.32979,0.0905640739097522,0.27444,0.387385,0.865301529296875,0.0303943631982209,0.847820755859375,0.885926759765625,0.064257389269024,0.012436611392652,0.0563281869674263,0.0716284439153884,0.240928571428571,0.0227399584205002,0.2265,0.254833333333333,NA,NA,NA,NA
"40",100,1000,0.4,0.5,0.08,0.0866573421557282,0.03,0.13,-0.048575,0.139251702470194,-0.137645,0.037155,0.337775,0.0935384493004418,0.282855,0.396045,0.882094303710938,0.0281033326745872,0.865414862304687,0.89947719921875,0.0571178580892817,0.0112714283921325,0.0499539286352228,0.0638519505253733,0.242076923076923,0.0244723941206083,0.227115384615385,0.257038461538462,NA,NA,NA,NA
"41",100,1000,0.4,0.6,0.11,0.0991891163791714,0.06,0.18,-0.10722,0.16441774847106,-0.208315,-0.01064,0.40764,0.0960446208497526,0.351245,0.46763,0.889162609375,0.0243112978077416,0.873554046875,0.90352779296875,0.0574678994810679,0.0102719035577366,0.0509740000502687,0.0636227598673479,0.226460084033613,0.0230492674939236,0.212781512605042,0.241114845938375,NA,NA,NA,NA
