"rep","budget","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci"
100,1200,0.4,1,0.05,0.35568,0.754169311965895,0.140275492025656,0.67866,0.480963368688513,0.0894591865760633,9430.483046875,309.765639530561,57.6164089526844,0.115348249719773,0.0326604949889292,0.00607485206794083,9.11,3.52736774838168,0.656090401198992
100,1200,0.4,1.5,0.09,0.28761,0.81681423397752,0.151927447519819,0.72235,0.472948656640636,0.0879684501351582,9458.7496875,337.412990413115,62.7588162168393,0.11303614427146,0.0335757565674442,0.00624509072154463,8.81,3.87870383431675,0.721438913182915
100,1200,0.8,0,0.05,0.58091,0.878470768328737,0.163395562909145,0.90919,0.526877358987973,0.097999188771763,9336.884609375,362.763456993195,67.4740030007343,0.110543359553339,0.0299936551133121,0.00557881985107605,13.5,4.54494946688802,0.845360600841171
100,1200,0.8,0.5,0.02,0.69415,0.87450249492861,0.162657464056721,0.99545,0.500535660038021,0.0930996327670718,9290.3894140625,361.395300830817,67.219525954532,0.104236913023981,0.0260181697784304,0.00483937957878806,13.45,4.06854154495567,0.756748727361755
100,1200,0.8,1,0.05,0.76817,0.894202766138473,0.166321714501756,1.06863,0.492076278372951,0.0915261877773689,9260.7702734375,369.594349872301,68.744549076248,0.102653804430494,0.0332039835877395,0.00617594094731955,12.9,4.77683805651624,0.88849187851202
100,1200,0.8,1.5,0.07,0.60731,0.88898235651897,0.165350718312528,0.94321,0.514012798940598,0.0956063806029512,9327.92544921875,366.956171290687,68.2538478600679,0.114963048829129,0.0357220262525929,0.00664429688298228,13.77,4.46728851392729,0.830915663590475
100,1200,1.2,0,0.04,0.59826,1.01280667753555,0.188382042021613,1.07622,0.466217458690554,0.0867164473164431,9331.27192382812,418.705724648694,77.8792647846571,0.108674294253096,0.030244291569698,0.00562543823196384,16.9,3.80987552488943,0.708636847629434
100,1200,1.2,0.5,0.05,0.60044,1.01700312683885,0.189162581592026,1.06788,0.496566906393542,0.0923614445891988,9330.9487109375,420.791313787087,78.2671843643982,0.102761923049832,0.0248654031215169,0.00462496498060215,16.99,3.58587295487233,0.666972369606254
100,1200,1.2,1,0.03,0.46105,1.01514838816796,0.18881760019924,0.97571,0.532554436824836,0.0990551252494195,9387.94171875,418.796158923657,77.8960855598001,0.101106131480837,0.0259954282680764,0.00483514965786221,16.93,3.90352081427456,0.726054871455069
100,1200,1.2,1.5,0.03,0.57166,1.01161667012398,0.18816070064306,1.0437,0.503141715482413,0.0935843590797289,9341.6051953125,418.34949583024,77.8130062244247,0.104113913820302,0.0254096144245778,0.00472618828297146,16.76,3.89799223118049,0.725026554999571
