"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"168",68,100,0.4,0,1,-0.984,0.984,9992.75,0.0997177798682973,1
"169",69,100,0.4,0,0,-0.896,0.896,9954.78125,0.104159260575898,6
"170",70,100,0.4,0,0,-0.772,0.772,9901.71875,0.127636625119847,5
"171",71,100,0.4,0,0,-0.947,0.947,9977.125,0.0886558627264061,4
"172",72,100,0.4,0,0,-0.76,0.76,9894.625,0.120122237893747,5
"173",73,100,0.4,0,1,-0.989,0.989,9995,0.0824096385542169,3
"174",74,100,0.4,0,0,-0.273,0.273,9682.8125,0.0986495488403076,17
"175",75,100,0.4,0,0,1.261,1.261,9063.71875,0.109586355616546,12
"176",76,100,0.4,0,0,-0.246,0.246,9676.625,0.101867780781519,9
"177",77,100,0.4,0,0,1.323,1.323,9054.33203125,0.207244369504998,7
"178",78,100,0.4,0,0,1.208,1.208,9083.171875,0.144993045897079,11
"179",79,100,0.4,0,0,-0.821,0.821,9923.1875,0.0979741736761047,2
"180",80,100,0.4,0,0,1.288,1.288,9053.40625,0.185177526088063,11
"181",81,100,0.4,0,0,-0.976,0.976,9989.5,0.0386308068459658,1
"182",82,100,0.4,0,1,-0.881,0.881,9947.25,0.0937649880095923,0
"183",83,100,0.4,0,0,-0.909,0.909,9960.8125,0.0984179652781892,1
"184",84,100,0.4,0,0,-0.963,0.963,9984.125,0.105538388400285,2
"185",85,100,0.4,0,0,1.218,1.218,9076.0625,0.198095296423322,4
"186",86,100,0.4,0,0,-0.984,0.984,9993.625,0.0898390583713668,2
"187",87,100,0.4,0,1,-0.978,0.978,9990.25,0.066295669005565,1
"188",88,100,0.4,0,1,-0.978,0.978,9989.75,0.0619663332520127,1
"189",89,100,0.4,0,0,-0.98,0.98,9991.25,0.0812121212121212,2
"190",90,100,0.4,0,1,-0.837,0.837,9931.1875,0.114387633769322,0
"191",91,100,0.4,0,0,1.356,1.356,9025.96875,0.113149847094801,7
"192",92,100,0.4,0,0,-0.969,0.969,9986.5,0.0846928982725528,2
"193",93,100,0.4,0,1,-0.988,0.988,9994.5,0.0762732319575187,2
"194",94,100,0.4,0,1,-0.989,0.989,9995.5,0.134905660377358,1
"195",95,100,0.4,0,1,-0.989,0.989,9994.75,0.0953533397870281,1
"196",96,100,0.4,0,1,-0.988,0.988,9994.75,0.0990384615384615,1
"197",97,100,0.4,0,0,-0.742,0.742,9890.8125,0.0895030273964391,3
"198",98,100,0.4,0,1,-0.989,0.989,9995.375,0.082345971563981,1
"199",99,100,0.4,0,0,0.516,0.516,9355.65625,0.0737845814549346,9
"200",100,100,0.4,0,0,-0.986,0.986,9993.5,0.108748187530208,2
"201",1,100,0.4,0.5,0,-0.971,0.971,9986.25,0.06875,2
"202",2,100,0.4,0.5,0,-0.739,0.739,9888.625,0.117752970831833,2
