"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"173",73,1000,0.1,0,0,-0.486,0.486,9773.9375,0.0756636070453982,0,0
"174",74,1000,0.1,0,0,-0.19,0.19,9655,0.140658682634731,5,0
"175",75,1000,0.1,0,0,-0.879,0.879,9915.5,0.102902997403823,4,0
"176",76,1000,0.1,0,0,-0.422,0.422,9750.84375,0.105653495440729,3,0
"177",77,1000,0.1,0,1,-0.915,0.915,9963.5,0.0724267833272573,3,0
"178",78,1000,0.1,0,0,0.0509999999999999,0.0509999999999999,9509.1875,0.13474025974026,5,0
"179",79,1000,0.1,0,0,-0.323,0.323,9725.6875,0.107375725309565,5,0
"180",80,1000,0.1,0,0,-0.397,0.397,9733.4375,0.0799129353233831,1,0
"181",81,1000,0.1,0,0,-0.62,0.62,9833.875,0.101196172248804,2,0
"182",82,1000,0.1,0,0,-0.304,0.304,9720.9375,0.085809987819732,3,0
"183",83,1000,0.1,0,0,-0.013,0.013,9605.25,0.0650602409638554,1,0
"184",84,1000,0.1,0,1,-0.953,0.953,9980.125,0.0586080586080586,1,0
"185",85,1000,0.1,0,1,-0.978,0.978,9990.125,0.0746268656716418,0,0
"186",86,1000,0.1,0,0,-0.778,0.778,9697.875,0.141741272607102,3,0
"187",87,1000,0.1,0,0,0.036,0.036,9581.25,0.0908979391560353,4,0
"188",88,1000,0.1,0,0,-0.245,0.245,9619.78125,0.131909621851218,6,0
"189",89,1000,0.1,0,0,-0.577,0.577,9423.78125,0.102867518156774,4,0
"190",90,1000,0.1,0,0,-0.505,0.505,9788.125,0.0941004388103364,0,0
"191",91,1000,0.1,0,0,-0.393,0.393,9741.828125,0.096529284164859,3,0
"192",92,1000,0.1,0,0,-0.0620000000000001,0.0620000000000001,9601.28125,0.0610532954903816,3,0
"193",93,1000,0.1,0,0,0.095,0.095,9567.25,0.0752378567851778,2,0
"194",94,1000,0.1,0,0,-0.317,0.317,9718.25,0.0609832767509116,1,0
"195",95,1000,0.1,0,0,-0.704,0.704,9851.6875,0.120593042260098,1,0
"196",96,1000,0.1,0,0,-0.377,0.377,9725.1875,0.0831110572259942,0,0
