"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"106",6,1000,0.5,1,0,0.524,0.524,9377.15625,0.0121430132957052,6,1
"107",7,1000,0.5,1,0,0.587,0.587,9411.09375,0.0363383844970136,9,1
"108",8,1000,0.5,1,0,-0.111,0.111,9591.1875,0.0137328501164898,6,0
"109",9,1000,0.5,1,0,-0.156,0.156,9616.4375,0.028357979445911,7,0
"110",10,1000,0.5,1,0,0.376,0.376,9488.6875,0.00749393004790341,9,0
"111",1,1000,0.75,0,0,0.653,0.653,9403.328125,0.0163258982869838,9,1
"112",2,1000,0.75,0,0,0.364,0.364,9483.859375,0.0161040964611518,9,0
"113",3,1000,0.75,0,0,0.65,0.65,9402.640625,0.0412631866754768,9,1
"114",4,1000,0.75,0,0,0.409,0.409,9490.53125,0.0146500271296799,8,0
"115",5,1000,0.75,0,0,0.615,0.615,9336.09375,0.0205199899288393,8,3
"116",6,1000,0.75,0,0,0.735,0.735,9371.375,0.0165615037633769,9,1
"117",7,1000,0.75,0,0,0.28,0.28,9526,0.0255460268932819,9,0
"118",8,1000,0.75,0,0,0.55,0.55,9456.46875,0.0299151698231131,8,1
"119",9,1000,0.75,0,0,0.777,0.777,9303.28125,0.00191281586630424,8,2
"120",10,1000,0.75,0,0,0.496,0.496,9379.703125,0.0390907249766442,8,0
"121",1,1000,0.75,0.25,0,0.095,0.095,9591.46875,0.00961706818845044,9,0
"122",2,1000,0.75,0.25,0,0.544,0.544,9429.8125,0.0129068794984755,9,1
"123",3,1000,0.75,0.25,0,0.435,0.435,9466.09375,0.019257176485974,9,0
"124",4,1000,0.75,0.25,0,0.523,0.523,9449.9375,0.0204113696173032,9,1
"125",5,1000,0.75,0.25,0,0.604,0.604,9421.953125,0.0165157411031765,9,1
"126",6,1000,0.75,0.25,0,0.677,0.677,9381.53125,0.0455397716175571,9,1
"127",7,1000,0.75,0.25,0,0.508,0.508,9448.21875,0.0040336156644243,9,1
"128",8,1000,0.75,0.25,0,0.618,0.618,9397.875,0.00958369183930108,9,1
"129",9,1000,0.75,0.25,0,0.44,0.44,9462.03125,0.0268422698954722,9,0
"130",10,1000,0.75,0.25,0,0.777,0.777,9350.78125,0.0332259760746681,9,2
"131",1,1000,0.75,0.5,0,0.519,0.519,9435.21875,0.0220833415220539,9,1
"132",2,1000,0.75,0.5,0,0.139,0.139,9571.375,0.0264697543751128,9,0
"133",3,1000,0.75,0.5,0,0.564,0.564,9428.90625,0.00384378742069294,9,1
"134",4,1000,0.75,0.5,0,0.399,0.399,9488.59375,9.8797958175531e-05,9,0
"135",5,1000,0.75,0.5,0,0.679,0.679,9391.59375,0.00204096556950917,8,1
