"","rep","scar","at","bb","extinct","act_dev","final yield","max_diff_yield","inac_ts"
"138",38,0,0.1,0,0,-0.116,9618.90625,0.1,6
"139",39,0,0.1,0,0,0.00299999999999989,9573.265625,0.1,6
"140",40,0,0.1,0,0,-0.178,9644.1875,0.1,3
"141",41,0,0.1,0,0,0.51,9361.1875,0.1,5
"142",42,0,0.1,0,0,0.374,9424.203125,0.1,5
"143",43,0,0.1,0,0,1.565,8939.484375,0.1,2
"144",44,0,0.1,0,1,-0.979,9990.75,0.1,3
"145",45,0,0.1,0,0,0.004,9568.375,0.1,5
"146",46,0,0.1,0,0,-0.533,9798.84375,0.1,6
"147",47,0,0.1,0,0,0.157,9507.140625,0.1,5
"148",48,0,0.1,0,0,0.176,9497.53125,0.1,6
"149",49,0,0.1,0,0,-0.027,9578.84375,0.1,7
"150",50,0,0.1,0,0,-0.775,9904.9375,0.1,1
"151",51,0,0.1,0,0,0.311,9441.890625,0.1,5
"152",52,0,0.1,0,0,1.26,9067.8125,0.2,2
"153",53,0,0.1,0,0,0.00499999999999989,9561.5625,0.1,4
"154",54,0,0.1,0,0,0.0509999999999999,9552.4375,0.1,4
"155",55,0,0.1,0,0,0.102,9531.84375,0.1,7
"156",56,0,0.1,0,0,-0.119,9617.8125,0.2,5
"157",57,0,0.1,0,0,1.295,9047.421875,0.2,3
"158",58,0,0.1,0,1,-0.955,9980.375,0.1,5
"159",59,0,0.1,0,0,0.325,9438.203125,0.1,6
"160",60,0,0.1,0,0,1.231,9086.203125,0.1,4
"161",61,0,0.1,0,0,-0.0639999999999999,9597.953125,0.1,11
"162",62,0,0.1,0,0,-0.758,9893.4375,0.1,5
"163",63,0,0.1,0,1,-0.95,9977.375,0.1,1
"164",64,0,0.1,0,0,0.0820000000000001,9535.21875,0.1,5
"165",65,0,0.1,0,1,-0.989,9995.75,0.1,3
"166",66,0,0.1,0,0,1.097,9135.734375,0.2,4
"167",67,0,0.1,0,1,-0.968,9986,0.1,4
"168",68,0,0.1,0,1,-0.975,9989.125,0.1,2
"169",69,0,0.1,0,0,-0.178,9649.78125,0.1,8
"170",70,0,0.1,0,0,-0.611,9831.3125,0.1,2
"171",71,0,0.1,0,1,-0.979,9990.75,0.1,6
"172",72,0,0.1,0,0,-0.35,9716.96875,0.1,3
"173",73,0,0.1,0,0,0.00800000000000001,9569.5,0.1,6
"174",74,0,0.1,0,0,-0.306,9694.875,0.1,1
"175",75,0,0.1,0,0,0.132,9516.75,0.1,7
"176",76,0,0.1,0,0,-0.911,9960.4375,0.1,1
"177",77,0,0.1,0,0,-0.744,9888.96875,0.1,1
"178",78,0,0.1,0,0,-0.45,9756.5,0.1,2
"179",79,0,0.1,0,0,0.32,9436.03125,0.1,9
"180",80,0,0.1,0,0,0.0489999999999999,9547.96875,0.1,4
"181",81,0,0.1,0,0,-0.445,9760.21875,0.1,2
"182",82,0,0.1,0,0,-0.467,9769.125,0.1,6
"183",83,0,0.1,0,0,-0.126,9623.84375,0.1,5
"184",84,0,0.1,0,0,0.176,9499.578125,0.1,6
"185",85,0,0.1,0,1,-0.987,9994.375,0.1,1
"186",86,0,0.1,0,0,-0.215,9655.59375,0.1,2
"187",87,0,0.1,0,0,1.457,8981.703125,0.1,3
"188",88,0,0.1,0,0,-1,10000,0.1,5
"189",89,0,0.1,0,0,-0.151,9630.59375,0.1,5
"190",90,0,0.1,0,0,0.7,9290.4140625,0.1,3
"191",91,0,0.1,0,0,0.448,9383.203125,0.1,2
"192",92,0,0.1,0,0,-0.257,9680.5,0.1,5
"193",93,0,0.1,0,1,-0.972,9987.875,0.1,2
"194",94,0,0.1,0,0,0.0820000000000001,9535.59375,0.1,3
"195",95,0,0.1,0,0,-0.546,9805,0.1,4
"196",96,0,0.1,0,0,1.445,8974.40625,0.1,2
"197",97,0,0.1,0,0,-0.297,9702.1875,0.1,3
"198",98,0,0.1,0,0,0.071,9542.765625,0.1,1
"199",99,0,0.1,0,0,-0.158,9636.59375,0.1,6
"200",100,0,0.1,0,0,0.0369999999999999,9553.09375,0.1,2
"201",1,0,0.1,0.1,0,-0.193,9650.28125,0.1,7
"202",2,0,0.1,0.1,0,1.281,9064.53125,0.2,3
"203",3,0,0.1,0.1,0,0.157,9505.15625,0.1,3
"204",4,0,0.1,0.1,0,-0.191,9656.75,0.1,6
"205",5,0,0.1,0.1,0,-0.984,9993.625,0.1,1
"206",6,0,0.1,0.1,0,-0.163,9641.75,0.2,4
"207",7,0,0.1,0.1,0,0.31,9445.5,0.2,3
"208",8,0,0.1,0.1,0,-0.04,9588.3828125,0.1,7
"209",9,0,0.1,0.1,0,0.122,9520.09375,0.1,6
"210",10,0,0.1,0.1,0,-0.483,9776,0.1,4
"211",11,0,0.1,0.1,0,1.043,9139.9453125,0.2,7
"212",12,0,0.1,0.1,0,-1,10000,0.1,1
"213",13,0,0.1,0.1,0,-0.48,9772.75,0.1,4
"214",14,0,0.1,0.1,0,-0.011,9577.25,0.1,5
"215",15,0,0.1,0.1,0,0.223,9472.8125,0.1,9
