"rep","budget","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci","overK_tot","overK_sd","overK_95ci"
100,1000,0.3,0.6,0.86,-0.885,0.234140200380762,0.0435500772708218,0.891,0.211004260333264,0.0392467924219871,9948.066,103.447863747534,19.2413026570413,0.091,0.0200724698717234,0.00373347939614055,0.72,2.30537360849548,0.428799491180159,0.02,0.2,0.0372
100,1000,0.3,0.7,0.93,-0.921,0.189492490456466,0.0352456032249027,0.932,0.130103661467588,0.0241992810329714,9966.576,74.2459774193707,13.8097518000029,0.094,0.0256221087780423,0.00476571223271586,0.2,0.963998407308295,0.179303703759343,0,0,0
100,1000,0.3,0.8,0.93,-0.908,0.251267047564776,0.0467356708470483,0.931,0.141658594778953,0.0263484986288852,9960.812,99.8444731423679,18.5710720044804,0.094,0.0210167482469476,0.00390911517393226,0.52,1.81731292369428,0.338020203807137,0.03,0.222701503353614,0.0414224796237721
100,1000,0.3,0.9,0.94,-0.924,0.183547955916736,0.0341399198005129,0.927,0.167795084263605,0.0312098856730305,9967.29,78.1845784919797,14.5423315995082,0.09,0.0195883608863191,0.00364343512485536,0.46,1.71399468429099,0.318803011278125,0,0,0
100,1000,0.3,1,0.92,-0.926,0.147700777235462,0.0274723445657959,0.927,0.141881805981905,0.0263900159126343,9968.288,60.4926859475073,11.2516395862363,0.092,0.0230683599310381,0.00429071494717308,0.36,1.4179227942681,0.263733639733866,0,0,0
100,1000,0.4,0,0.94,-0.926,0.179753129248832,0.0334340820402829,0.932,0.148915309128811,0.0276982474979588,9966.577,85.7042671230169,15.9409936848811,0.087,0.0240796910914492,0.00447882254300954,0.73,2.15019378971602,0.399936044887179,0,0,0
100,1000,0.4,0.1,0.95,-0.927,0.181031811479852,0.0336719169352525,0.93,0.160604005132644,0.0298723449546719,9969.109,73.0426932410487,13.585940942835,0.093,0.0246484234814927,0.00458460676755764,0.6,1.89630155723176,0.352712089645107,0,0,0
100,1000,0.4,0.2,0.97,-0.948,0.0967398803206022,0.017993617739632,0.948,0.0967398803206022,0.017993617739632,9977.386,40.30490229182,7.49671182627852,0.091,0.0218525631921336,0.00406457675373685,0.39,1.25444663642435,0.233327074374929,0,0,0
100,1000,0.4,0.3,0.95,-0.949,0.0929206520411774,0.017283241279659,0.949,0.0929206520411774,0.017283241279659,9978.188,38.0582646079227,7.07883721707362,0.093,0.0229473749751744,0.00426821174538244,0.56,1.71340525730417,0.318693377858576,0.03,0.222701503353614,0.0414224796237721
100,1000,0.4,0.4,0.91,-0.917,0.184710480252615,0.0343561493269863,0.921,0.164847530105301,0.030661640599586,9962.677,83.6909456297067,15.5665158871254,0.097,0.0232033342925694,0.00431582017841791,0.67,1.83156939935304,0.340671908279666,0.01,0.1,0.0186
